date,We Buy Cars,AutoTrader,Toyota,BMW,Mercedes Benz,Cars for Sale,Hyundai,Volkswagen Polo,Cars,Renault Kiger
2021-01-04,31,28,77,60,26,23,21,2,72,0
2021-01-05,28,28,78,69,25,20,25,0,72,0
2021-01-06,25,28,73,62,25,20,25,0,61,0
2021-01-07,28,29,79,62,21,21,25,0,70,0
2021-01-08,25,31,78,63,25,23,25,2,67,0
2021-01-09,26,31,72,71,27,22,20,0,65,0
2021-01-10,24,33,68,62,23,21,19,0,66,0
2021-01-11,27,31,73,58,22,19,22,0,70,0
2021-01-12,31,31,78,61,24,24,24,2,77,0
2021-01-13,26,33,77,59,23,18,25,0,60,0
2021-01-14,28,30,79,66,26,18,22,2,68,0
2021-01-15,30,34,82,66,25,24,26,2,74,0
2021-01-16,27,30,78,69,23,23,23,0,72,0
2021-01-17,24,34,71,67,20,22,22,0,68,0
2021-01-18,28,35,78,69,24,24,25,0,69,0
2021-01-19,28,33,79,65,24,22,26,0,71,0
2021-01-20,27,27,74,66,21,20,24,0,69,0
2021-01-21,24,29,77,67,22,23,24,0,74,0
2021-01-22,27,29,79,68,24,21,23,2,75,0
2021-01-23,28,30,70,70,27,22,22,0,70,0
2021-01-24,24,33,71,77,22,22,20,2,70,0
2021-01-25,23,31,81,72,21,20,26,0,63,0
2021-01-26,24,29,73,65,21,22,25,0,70,0
2021-01-27,28,28,76,64,20,17,26,0,62,0
2021-01-28,23,33,77,69,24,21,23,0,70,0
2021-01-29,23,31,79,68,24,20,22,0,70,0
2021-01-30,25,31,77,69,20,20,24,0,62,0
2021-01-31,26,34,78,74,24,22,17,0,70,0
2021-02-01,27,29,75,63,24,20,24,0,70,0
2021-02-02,22,23,75,55,21,18,22,0,59,0
2021-02-03,22,30,77,60,21,22,25,0,63,0
2021-02-04,26,31,80,69,21,21,25,0,71,0
2021-02-05,22,31,74,65,24,20,24,0,63,0
2021-02-06,31,33,81,70,26,25,25,0,71,0
2021-02-07,24,30,72,62,22,22,23,0,68,0
2021-02-08,24,31,79,60,22,18,25,0,69,0
2021-02-09,27,28,80,62,22,23,23,0,72,0
2021-02-10,28,29,76,62,22,21,22,2,68,0
2021-02-11,25,24,74,62,22,19,25,2,64,0
2021-02-12,24,30,73,65,25,21,24,0,67,0
2021-02-13,29,28,77,69,26,22,24,0,74,0
2021-02-14,25,31,71,69,24,24,23,2,67,0
2021-02-15,29,31,82,63,26,22,27,2,73,0
2021-02-16,26,31,81,68,23,23,24,0,71,0
2021-02-17,25,31,79,63,22,20,26,0,68,0
2021-02-18,26,31,78,65,18,22,25,0,75,0
2021-02-19,26,29,81,64,23,23,26,0,70,0
2021-02-20,26,33,78,69,26,21,25,0,69,0
2021-02-21,24,30,73,65,26,23,24,0,68,0
2021-02-22,28,32,74,64,23,21,25,0,73,0
2021-02-23,30,28,75,58,28,22,25,1,70,0
2021-02-24,26,28,69,58,24,19,25,1,66,0
2021-02-25,27,28,73,65,22,17,22,0,62,0
2021-02-26,23,26,68,62,25,21,21,0,62,0
2021-02-27,27,27,75,69,23,20,23,0,66,0
2021-02-28,25,28,67,60,20,22,23,0,61,0
2021-03-01,28,28,75,56,20,19,26,2,68,0
2021-03-02,24,25,68,58,19,18,24,0,61,0
2021-03-03,25,27,74,60,22,21,23,0,67,0
2021-03-04,27,30,83,60,21,19,25,0,64,0
2021-03-05,27,30,82,58,23,17,24,0,65,0
2021-03-06,24,34,80,61,22,19,24,0,63,0
2021-03-07,27,30,81,60,20,20,25,0,67,0
2021-03-08,29,28,91,63,21,19,26,0,71,0
2021-03-09,27,28,89,59,24,19,27,0,67,0
2021-03-10,25,27,92,58,24,20,21,0,61,0
2021-03-11,29,28,100,58,19,21,24,2,72,0
2021-03-12,26,32,87,63,21,20,25,0,67,0
2021-03-13,25,30,84,73,24,22,24,0,70,0
2021-03-14,27,34,84,65,23,23,22,0,68,0
2021-03-15,27,29,94,61,22,21,27,1,65,0
2021-03-16,28,26,90,60,21,19,25,0,65,1
2021-03-17,27,28,83,57,20,18,25,1,62,0
2021-03-18,27,26,85,60,25,16,25,2,63,0
2021-03-19,24,27,82,59,21,18,23,0,63,0
2021-03-20,29,31,84,70,22,21,26,0,69,0
2021-03-21,28,32,83,68,24,22,21,0,65,0
2021-03-22,30,29,87,74,22,23,26,0,73,0
2021-03-23,28,30,80,62,24,22,25,2,73,0
2021-03-24,29,27,80,61,23,20,21,1,71,0
2021-03-25,25,27,79,61,21,18,23,0,65,0
2021-03-26,27,28,83,58,21,19,23,0,67,0
2021-03-27,28,33,81,70,25,20,26,0,68,0
2021-03-28,26,30,71,67,21,21,23,0,65,0
2021-03-29,27,28,83,58,23,17,24,0,64,0
2021-03-30,24,24,77,58,22,19,21,0,61,0
2021-03-31,27,27,72,61,21,20,21,2,62,0
2021-04-01,25,28,75,60,20,17,22,0,62,0
2021-04-02,24,30,80,69,24,21,24,0,66,0
2021-04-03,27,32,70,66,22,19,20,0,63,0
2021-04-04,26,29,69,69,24,25,19,0,70,0
2021-04-05,30,32,76,68,26,23,22,0,70,0
2021-04-06,26,26,81,60,23,19,22,0,66,0
2021-04-07,30,27,74,60,20,21,24,2,71,0
2021-04-08,24,29,87,67,19,21,26,2,72,0
2021-04-09,28,29,75,58,21,17,23,0,64,0
2021-04-10,24,31,76,62,23,20,22,0,67,0
2021-04-11,20,30,72,62,20,16,18,0,59,0
2021-04-12,29,28,75,58,22,19,25,0,70,0
2021-04-13,28,27,73,62,22,18,26,0,70,0
2021-04-14,27,27,75,58,22,23,25,1,75,0
2021-04-15,29,27,76,58,22,26,26,0,100,0
2021-04-16,28,32,77,68,24,19,28,2,79,0
2021-04-17,29,29,83,68,20,24,29,0,78,0
2021-04-18,29,29,75,61,21,21,32,0,72,0
2021-04-19,28,27,76,60,23,19,30,0,74,0
2021-04-20,28,29,77,60,24,24,29,3,71,0
2021-04-21,26,27,73,61,23,19,30,2,68,0
2021-04-22,26,31,76,61,24,20,32,2,69,0
2021-04-23,25,24,74,64,24,18,28,0,67,0
2021-04-24,27,31,82,64,26,23,30,0,75,0
2021-04-25,24,33,81,61,22,21,26,0,67,0
2021-04-26,29,31,82,68,26,19,30,2,66,0
2021-04-27,28,28,77,70,21,21,29,0,72,0
2021-04-28,29,30,72,59,23,19,27,0,71,0
2021-04-29,22,28,77,59,24,19,27,0,60,0
2021-04-30,25,25,66,62,22,19,22,2,61,0
2021-05-01,24,24,70,62,21,19,23,0,61,0
2021-05-02,24,31,69,64,20,20,22,0,65,0
2021-05-03,27,25,74,57,23,18,25,0,70,0
2021-05-04,29,31,72,55,23,17,25,0,64,0
2021-05-05,27,26,70,58,16,19,24,0,65,0
2021-05-06,26,30,71,51,22,19,25,0,66,0
2021-05-07,29,28,73,56,22,17,24,0,59,0
2021-05-08,26,32,74,63,22,22,23,0,68,0
2021-05-09,29,32,68,60,19,21,19,0,69,0
2021-05-10,28,33,80,62,21,19,25,0,70,0
2021-05-11,31,29,74,58,21,20,27,2,70,0
2021-05-12,28,27,72,57,20,18,27,2,66,0
2021-05-13,29,27,77,57,22,17,24,3,65,0
2021-05-14,30,27,72,58,21,17,26,0,66,0
2021-05-15,25,29,78,67,21,19,24,0,61,0
2021-05-16,28,27,73,61,18,24,24,0,70,0
2021-05-17,28,30,78,60,19,19,24,0,65,0
2021-05-18,27,28,76,61,20,19,23,2,64,0
2021-05-19,30,27,74,58,21,16,26,0,66,0
2021-05-20,30,32,70,56,24,20,28,0,72,0
2021-05-21,30,32,78,65,21,19,30,0,71,0
2021-05-22,31,34,70,64,22,20,27,2,68,0
2021-05-23,26,31,67,62,17,18,21,0,66,0
2021-05-24,30,32,72,66,22,21,23,0,72,0
2021-05-25,33,30,74,59,20,18,28,0,72,0
2021-05-26,30,23,69,55,18,17,23,1,61,0
2021-05-27,26,26,69,54,22,17,26,0,60,0
2021-05-28,28,29,70,52,21,17,26,0,64,0
2021-05-29,27,29,76,53,21,18,23,0,67,0
2021-05-30,30,32,67,63,21,21,20,0,68,0
2021-05-31,28,29,72,58,20,16,28,2,62,0
2021-06-01,32,26,67,58,20,18,25,2,68,0
2021-06-02,27,27,63,54,18,16,24,0,59,0
2021-06-03,28,27,72,56,20,18,26,2,61,0
2021-06-04,36,28,72,59,24,18,27,2,70,0
2021-06-05,31,31,68,66,20,20,27,0,67,0
2021-06-06,30,34,70,61,25,22,22,0,72,0
2021-06-07,31,27,74,57,19,19,21,0,68,0
2021-06-08,31,28,68,56,21,20,26,0,70,0
2021-06-09,31,30,74,55,22,18,20,0,65,0
2021-06-10,28,32,76,58,18,17,26,0,65,0
2021-06-11,29,28,69,64,20,16,23,0,66,0
2021-06-12,27,31,78,64,22,21,26,0,70,0
2021-06-13,28,31,72,65,22,19,20,0,67,0
2021-06-14,36,28,74,55,21,18,28,0,73,0
2021-06-15,33,33,71,64,20,17,24,0,61,0
2021-06-16,28,28,76,59,21,20,22,2,63,0
2021-06-17,30,31,69,62,22,20,26,2,71,0
2021-06-18,33,28,76,59,22,19,26,0,68,0
2021-06-19,32,30,72,69,22,19,25,0,69,0
2021-06-20,29,26,70,66,19,19,24,0,69,0
2021-06-21,30,31,72,56,23,17,26,0,65,0
2021-06-22,31,33,70,59,22,19,23,0,65,0
2021-06-23,29,29,74,57,21,18,23,0,63,0
2021-06-24,31,28,73,64,24,20,24,0,64,0
2021-06-25,32,27,74,57,22,16,24,2,62,0
2021-06-26,29,27,66,66,20,18,25,0,64,0
2021-06-27,28,32,59,57,21,14,21,0,63,0
2021-06-28,32,26,73,53,18,17,24,0,70,0
2021-06-29,28,26,72,52,17,16,24,0,60,0
2021-06-30,31,26,71,57,21,18,21,1,64,0
2021-07-01,28,27,70,54,18,17,23,0,65,0
2021-07-02,24,27,69,49,20,15,23,2,58,0
2021-07-03,30,30,71,62,23,19,21,0,68,0
2021-07-04,32,31,71,67,20,21,21,0,73,0
