date,We Buy Cars,AutoTrader,Toyota,BMW,Mercedes Benz,Cars for Sale,Hyundai,Volkswagen Polo,Cars,Renault Kiger
2023-01-08,53,35,83,68,22,22,23,2,94,0
2023-01-09,54,40,100,62,23,19,29,1,93,2
2023-01-10,56,40,93,65,27,20,31,1,100,0
2023-01-11,58,36,95,66,23,20,31,0,96,2
2023-01-12,58,38,94,59,23,21,31,0,95,1
2023-01-13,53,37,96,68,20,19,30,2,90,0
2023-01-14,55,33,85,66,19,17,27,0,89,2
2023-01-15,56,33,84,64,20,21,26,2,91,0
2023-01-16,60,35,86,60,22,20,29,0,94,1
2023-01-17,56,35,85,58,18,21,26,0,88,2
2023-01-18,55,32,90,60,22,21,30,0,91,2
2023-01-19,51,32,87,60,20,18,28,0,85,0
2023-01-20,52,33,89,57,19,21,27,0,88,0
2023-01-21,54,33,74,66,19,17,28,2,84,2
2023-01-22,54,31,82,65,19,21,22,0,87,0
2023-01-23,59,36,87,59,22,21,29,2,90,1
2023-01-24,55,35,91,59,21,20,28,0,86,0
2023-01-25,55,35,79,61,20,18,28,1,85,1
2023-01-26,50,34,90,61,22,19,28,1,85,2
2023-01-27,53,34,94,63,19,18,26,2,84,0
2023-01-28,57,33,87,71,18,20,24,2,92,0
2023-01-29,57,36,77,62,19,18,26,0,87,2
2023-01-30,54,35,89,60,21,19,28,0,85,2
2023-01-31,54,35,87,57,20,16,27,0,81,2
2023-02-01,52,32,78,53,17,18,25,0,83,2
2023-02-02,51,32,90,58,20,18,27,2,83,0
2023-02-03,57,34,82,60,19,17,27,0,84,0
2023-02-04,45,34,84,60,20,19,26,2,83,0
2023-02-05,53,42,78,61,19,22,22,0,93,0
2023-02-06,55,36,82,62,18,16,29,0,85,0
2023-02-07,52,35,78,61,18,18,24,0,86,0
2023-02-08,50,34,86,59,17,18,28,0,82,0
2023-02-09,57,37,79,56,20,19,29,0,88,0
2023-02-10,53,34,77,59,21,16,31,0,83,0
2023-02-11,52,37,76,68,19,17,27,0,84,2
2023-02-12,51,38,77,59,16,20,24,0,86,0
2023-02-13,48,33,75,53,18,16,27,0,77,2
2023-02-14,52,36,81,55,20,16,31,0,81,2
2023-02-15,47,30,86,51,18,18,28,0,76,0
2023-02-16,47,34,83,55,17,19,29,0,78,2
2023-02-17,47,32,85,56,17,17,26,1,81,0
2023-02-18,51,34,80,62,17,20,26,2,87,2
2023-02-19,49,35,69,57,17,20,24,2,84,1
2023-02-20,50,35,75,55,18,20,31,0,86,0
2023-02-21,52,32,81,60,19,17,27,0,86,0
2023-02-22,51,33,84,54,18,16,26,0,83,1
2023-02-23,46,36,82,55,21,19,26,1,84,0
2023-02-24,48,34,81,62,19,17,24,2,81,2
2023-02-25,43,28,71,57,16,19,26,0,76,2
2023-02-26,48,31,66,54,18,19,20,0,82,0
2023-02-27,49,35,83,55,20,17,27,0,78,0
2023-02-28,48,31,84,54,16,18,27,0,77,2
2023-03-01,43,29,77,51,16,15,22,0,69,0
2023-03-02,46,29,77,54,15,17,25,0,76,1
2023-03-03,47,31,84,58,19,15,26,1,77,1
2023-03-04,50,32,71,64,19,17,30,2,85,0
2023-03-05,44,29,74,51,18,19,22,0,76,2
2023-03-06,54,33,79,54,16,17,24,2,80,2
2023-03-07,51,32,83,53,16,18,24,0,83,2
2023-03-08,45,34,71,55,19,15,22,2,73,1
2023-03-09,50,30,77,57,16,19,24,0,80,1
2023-03-10,55,33,77,59,20,20,30,1,91,2
2023-03-11,46,37,73,58,17,20,21,0,82,0
2023-03-12,46,33,62,53,18,17,21,0,78,0
2023-03-13,53,32,79,59,18,19,29,0,85,0
2023-03-14,47,32,84,57,17,20,25,2,80,2
2023-03-15,48,33,78,55,17,16,27,2,76,0
2023-03-16,52,31,81,58,15,17,25,1,82,2
2023-03-17,51,29,81,58,20,19,25,0,81,2
2023-03-18,48,32,69,63,17,18,23,0,81,2
2023-03-19,48,33,70,60,19,18,20,2,82,2
2023-03-20,45,35,82,62,19,18,21,0,79,0
2023-03-21,52,36,81,64,18,20,22,0,86,2
2023-03-22,53,34,85,59,19,18,27,0,84,0
2023-03-23,50,34,84,59,20,18,27,1,81,0
2023-03-24,43,31,73,60,22,16,25,0,72,2
2023-03-25,50,37,76,62,20,18,24,0,83,0
2023-03-26,49,33,74,64,16,19,28,0,84,2
2023-03-27,51,31,86,57,20,17,29,1,83,2
2023-03-28,51,28,87,55,20,19,28,0,83,1
2023-03-29,49,34,80,63,22,17,30,0,80,2
2023-03-30,51,35,94,60,24,17,27,2,83,1
2023-03-31,47,32,77,57,16,17,25,0,77,2
2023-04-01,43,33,77,60,13,15,20,2,74,2
2023-04-02,51,34,72,62,19,19,22,0,84,2
2023-04-03,49,31,78,54,21,17,26,0,82,2
2023-04-04,50,32,74,57,19,18,25,0,81,0
2023-04-05,52,32,81,57,17,18,27,0,80,2
2023-04-06,43,32,81,61,18,16,28,0,79,2
2023-04-07,45,30,71,68,20,19,26,0,81,0
2023-04-08,47,32,70,61,18,17,22,0,76,0
2023-04-09,44,31,74,59,18,23,23,0,81,0
2023-04-10,54,37,72,68,22,21,25,3,90,0
2023-04-11,50,33,87,61,19,17,27,1,78,2
2023-04-12,53,32,85,62,21,16,26,2,82,3
2023-04-13,48,34,81,56,17,17,26,0,78,2
2023-04-14,50,29,77,55,21,16,25,1,80,2
2023-04-15,47,30,75,59,20,18,23,2,83,2
2023-04-16,50,31,73,65,18,18,23,0,82,0
2023-04-17,49,35,86,59,19,18,26,3,81,0
2023-04-18,49,34,79,58,17,16,23,2,78,1
2023-04-19,52,34,85,59,20,19,27,2,87,3
2023-04-20,56,33,85,60,18,18,26,1,84,2
2023-04-21,49,33,92,55,18,14,28,0,78,2
2023-04-22,52,30,72,61,18,21,23,0,88,0
2023-04-23,54,34,68,65,19,18,21,0,87,2
2023-04-24,51,32,81,62,19,17,27,0,77,1
2023-04-25,51,29,82,55,19,18,27,0,80,2
2023-04-26,45,26,83,60,20,14,23,0,72,2
2023-04-27,44,31,78,67,20,18,23,1,80,0
2023-04-28,42,35,79,64,20,17,24,0,77,0
2023-04-29,40,30,71,57,20,16,22,2,69,0
2023-04-30,39,28,69,62,16,16,22,0,67,2
2023-05-01,46,29,71,56,16,17,20,0,78,2
2023-05-02,45,30,77,55,17,15,24,0,73,0
2023-05-03,43,29,81,52,16,15,26,1,68,1
2023-05-04,46,26,80,58,18,16,24,0,75,1
2023-05-05,45,33,88,64,16,17,26,0,75,0
2023-05-06,44,29,79,58,15,18,23,1,73,3
2023-05-07,48,30,71,54,17,17,20,0,78,2
2023-05-08,46,30,82,52,17,15,22,0,75,1
2023-05-09,53,32,84,53,19,13,25,1,78,1
2023-05-10,50,33,86,55,15,16,26,0,80,2
2023-05-11,50,29,88,57,17,17,22,2,81,1
2023-05-12,48,29,78,61,15,18,26,0,77,0
2023-05-13,48,34,78,60,17,17,21,0,77,2
2023-05-14,40,31,73,56,18,18,20,0,76,0
2023-05-15,52,34,85,70,20,16,25,0,85,0
2023-05-16,45,34,85,61,15,15,27,0,75,2
2023-05-17,48,33,81,62,19,17,23,2,75,2
2023-05-18,47,33,84,59,19,15,25,2,77,0
2023-05-19,46,31,88,64,15,16,24,2,76,0
2023-05-20,51,32,77,63,16,18,23,0,88,2
2023-05-21,47,33,76,61,15,18,22,0,77,0
2023-05-22,52,34,92,60,19,18,25,0,82,0
2023-05-23,52,31,91,59,20,18,26,1,82,1
2023-05-24,52,34,86,58,16,21,24,0,81,0
2023-05-25,46,33,75,56,17,16,24,1,79,2
2023-05-26,45,32,87,61,17,18,24,0,75,0
2023-05-27,46,30,78,63,18,16,21,0,78,0
2023-05-28,42,32,78,60,20,17,24,0,77,0
2023-05-29,48,34,87,59,18,18,25,2,81,0
2023-05-30,47,30,95,61,17,17,26,0,77,2
2023-05-31,53,34,79,57,17,17,24,0,81,2
2023-06-01,47,33,79,59,16,14,22,0,77,2
2023-06-02,47,33,78,57,21,16,26,0,75,3
2023-06-03,48,34,80,64,18,20,24,0,80,0
2023-06-04,42,34,74,63,16,18,19,0,78,0
2023-06-05,47,33,95,54,18,18,25,0,76,2
2023-06-06,50,32,85,60,17,17,25,2,78,0
2023-06-07,53,33,83,61,18,17,27,0,82,0
2023-06-08,49,32,87,62,20,18,25,3,83,0
2023-06-09,50,34,88,64,19,17,25,0,80,0
2023-06-10,51,36,85,65,21,17,24,2,85,0
2023-06-11,45,31,82,65,16,18,22,0,77,0
2023-06-12,46,31,89,62,20,17,25,1,78,0
2023-06-13,56,31,86,57,20,17,26,2,81,2
2023-06-14,49,32,88,57,19,18,27,0,77,2
2023-06-15,48,32,86,61,19,18,23,0,79,2
2023-06-16,48,34,78,71,20,17,26,0,86,0
2023-06-17,47,36,81,69,19,19,24,0,80,0
2023-06-18,49,33,74,66,17,18,22,0,84,0
2023-06-19,52,35,84,58,20,18,25,0,81,2
2023-06-20,55,35,86,59,19,19,27,2,86,2
2023-06-21,52,33,90,60,15,17,24,0,82,2
2023-06-22,47,29,92,64,18,20,26,0,82,2
2023-06-23,45,30,84,61,22,14,26,0,74,0
2023-06-24,51,31,87,70,21,18,26,2,83,0
2023-06-25,51,33,88,75,19,22,23,0,91,3
2023-06-26,49,30,89,66,17,20,26,0,82,0
2023-06-27,52,30,94,58,21,20,26,0,88,0
2023-06-28,48,29,81,64,18,18,24,1,80,1
2023-06-29,48,30,87,62,19,17,24,0,78,0
2023-06-30,41,26,80,60,20,16,27,0,75,0
2023-07-01,47,30,78,66,19,17,24,0,87,0
2023-07-02,52,35,86,70,18,19,20,0,83,0
2023-07-03,51,31,94,67,19,19,29,0,85,0
2023-07-04,51,33,87,65,20,18,24,0,82,0
2023-07-05,51,33,90,66,23,19,26,2,86,2
2023-07-06,53,29,90,63,20,17,27,0,81,1
2023-07-07,52,30,90,63,23,15,26,0,84,0
2023-07-08,50,28,79,66,20,20,24,0,87,0
