date,We Buy Cars,AutoTrader,Toyota,BMW,Mercedes Benz,Cars for Sale,Hyundai,Volkswagen Polo,Cars,Renault Kiger
2020-07-03,22,25,64,66,23,26,28,0,79,0
2020-07-04,25,28,67,61,21,30,25,0,89,0
2020-07-05,22,28,68,63,20,31,24,2,88,0
2020-07-06,25,27,62,62,23,32,27,2,92,0
2020-07-07,24,29,66,63,26,29,28,0,89,0
2020-07-08,20,25,63,57,22,24,26,0,80,0
2020-07-09,24,25,63,56,24,25,26,2,91,0
2020-07-10,24,25,69,56,24,25,27,2,80,0
2020-07-11,23,29,65,58,22,33,25,0,84,0
2020-07-12,22,25,64,61,24,33,25,0,87,0
2020-07-13,22,22,65,56,18,27,26,0,76,0
2020-07-14,23,24,67,55,20,25,28,0,86,0
2020-07-15,24,22,70,57,19,28,27,0,85,0
2020-07-16,23,33,71,60,23,28,27,0,82,0
2020-07-17,28,26,71,66,24,28,26,0,94,0
2020-07-18,25,32,73,74,26,29,27,0,92,0
2020-07-19,22,27,71,66,21,33,28,2,90,0
2020-07-20,22,25,69,59,24,27,29,0,85,0
2020-07-21,25,26,72,60,25,26,27,0,91,0
2020-07-22,24,26,72,60,23,26,29,0,92,0
2020-07-23,24,26,70,68,22,29,28,3,94,0
2020-07-24,23,24,67,59,24,28,27,2,92,0
2020-07-25,29,30,74,80,26,29,28,0,90,0
2020-07-26,23,31,73,70,25,27,29,3,86,0
2020-07-27,24,27,68,60,19,25,28,2,87,0
2020-07-28,27,27,66,61,22,28,27,0,88,0
2020-07-29,23,25,67,61,23,26,30,0,88,0
2020-07-30,29,23,65,59,25,23,26,2,84,0
2020-07-31,23,21,66,57,23,24,27,0,75,0
2020-08-01,24,29,67,63,21,31,29,0,87,0
2020-08-02,22,30,67,62,24,31,23,0,87,0
2020-08-03,23,25,68,58,23,26,27,0,85,0
2020-08-04,24,23,64,59,24,29,26,2,89,0
2020-08-05,22,22,66,58,21,25,26,0,85,0
2020-08-06,24,23,70,57,21,26,23,0,83,0
2020-08-07,23,26,67,60,23,24,24,0,81,0
2020-08-08,28,30,70,71,25,33,26,0,100,0
2020-08-09,27,31,63,73,29,32,27,0,95,0
2020-08-10,25,33,69,66,24,33,27,2,96,0
