date,Online banking,Capitec Bank,Standard Bank,FNB (First National Bank),Nedbank,Loan,Investment app,trading platforms,mutual funds,stocks
2021-01-04,15,5,46,0,24,73,0,0,0,7
2021-01-05,13,5,39,0,23,78,0,0,0,4
2021-01-06,13,4,35,0,24,71,0,0,0,6
2021-01-07,13,4,34,0,23,73,0,0,0,6
2021-01-08,11,4,32,0,20,58,0,0,0,9
2021-01-09,9,3,20,0,13,58,0,0,0,8
2021-01-10,6,3,18,0,11,42,0,0,0,9
2021-01-11,12,4,37,0,23,74,0,0,0,7
2021-01-12,12,5,33,0,22,70,0,0,0,7
2021-01-13,10,4,37,0,22,68,0,0,0,7
2021-01-14,13,4,36,0,26,72,0,0,0,6
2021-01-15,13,5,40,0,27,59,0,0,0,8
2021-01-16,8,4,22,0,16,50,0,0,0,0
2021-01-17,7,3,17,0,11,44,0,0,0,6
2021-01-18,13,3,37,0,23,74,0,0,0,8
2021-01-19,11,4,34,0,22,67,0,0,0,6
2021-01-20,11,5,35,0,23,67,0,0,0,7
2021-01-21,12,4,35,0,22,71,0,0,0,7
2021-01-22,15,5,38,0,26,63,0,0,0,6
2021-01-23,9,4,23,0,16,44,0,0,0,0
2021-01-24,7,3,18,0,11,40,0,0,0,7
2021-01-25,17,5,46,0,31,85,0,0,0,8
2021-01-26,14,5,44,0,29,78,0,3,0,7
2021-01-27,14,5,42,0,27,81,0,0,0,10
2021-01-28,15,5,38,0,29,78,0,0,0,12
2021-01-29,20,7,46,0,30,75,0,0,0,18
2021-01-30,11,5,27,0,18,49,0,0,0,9
2021-01-31,10,5,22,0,15,54,0,0,0,11
2021-02-01,18,6,48,0,33,87,0,0,0,12
2021-02-02,16,5,46,0,32,78,0,0,0,10
2021-02-03,16,4,40,0,49,79,0,0,0,9
2021-02-04,14,6,40,0,46,80,0,0,0,9
2021-02-05,14,4,37,0,41,69,0,0,0,8
2021-02-06,7,4,23,0,72,55,0,0,0,6
2021-02-07,6,3,16,0,93,49,0,0,0,5
2021-02-08,15,5,43,0,46,92,0,0,0,7
2021-02-09,14,4,38,0,31,84,0,0,0,10
2021-02-10,13,4,36,0,26,82,0,0,0,8
2021-02-11,12,5,35,0,21,73,0,0,0,6
2021-02-12,14,5,37,0,26,69,0,0,0,10
2021-02-13,9,4,23,0,16,60,0,0,0,8
2021-02-14,8,3,16,0,12,42,0,0,0,5
2021-02-15,17,5,41,0,27,92,0,0,0,10
2021-02-16,15,4,36,0,24,82,0,0,0,9
2021-02-17,14,5,36,0,27,82,0,0,0,6
2021-02-18,14,5,33,0,24,80,0,0,0,6
2021-02-19,16,5,37,0,32,81,0,0,0,4
2021-02-20,9,4,23,0,18,56,0,0,0,5
2021-02-21,7,3,16,0,12,40,0,0,0,0
2021-02-22,15,4,34,0,26,82,0,0,0,8
2021-02-23,14,4,36,0,24,69,0,0,0,6
2021-02-24,17,5,41,0,24,76,0,0,0,0
2021-02-25,21,5,56,0,35,89,0,0,0,9
2021-02-26,25,6,56,0,50,77,0,0,0,6
2021-02-27,13,5,31,0,73,63,0,0,0,0
2021-02-28,12,4,27,0,36,56,0,0,0,0
2021-03-01,23,7,57,0,37,99,0,0,0,6
2021-03-02,19,6,49,0,31,100,0,0,0,6
2021-03-03,16,6,46,0,29,88,0,0,0,4
2021-03-04,16,5,61,0,24,85,0,0,0,10
2021-03-05,16,5,47,0,23,78,0,0,0,7
2021-03-06,9,4,25,0,16,57,0,0,0,0
2021-03-07,7,3,19,0,10,51,0,0,0,5
2021-03-08,15,5,38,0,25,85,0,0,0,6
2021-03-09,13,6,37,0,22,82,0,0,0,8
2021-03-10,13,4,35,0,31,78,0,0,0,6
2021-03-11,13,4,37,0,22,84,0,0,0,9
2021-03-12,14,4,37,1,23,69,0,0,0,5
2021-03-13,8,4,22,0,21,55,0,0,0,0
2021-03-14,6,3,19,0,24,47,0,0,4,0
2021-03-15,14,4,35,0,25,75,0,0,0,7
2021-03-16,13,5,31,0,20,77,0,0,0,7
2021-03-17,13,4,34,0,19,69,0,0,0,5
2021-03-18,12,4,33,0,20,73,0,0,0,6
2021-03-19,14,5,39,0,20,68,0,0,0,5
2021-03-20,9,3,21,0,13,52,0,0,0,0
2021-03-21,8,4,16,0,10,43,0,0,0,6
