date,Online banking,Capitec Bank,Standard Bank,FNB (First National Bank),Nedbank,Loan,Investment app,trading platforms,mutual funds,stocks
2021-07-05,23,9,70,0,39,83,0,0,0,7
2021-07-06,24,9,62,0,34,67,0,0,0,9
2021-07-07,21,9,61,1,34,69,0,0,0,4
2021-07-08,22,8,54,0,30,62,0,0,0,5
2021-07-09,26,9,58,0,30,66,0,0,0,0
2021-07-10,12,7,37,0,19,53,0,0,0,0
2021-07-11,9,6,23,0,12,42,0,0,0,4
2021-07-12,19,7,54,0,28,50,0,0,0,5
2021-07-13,21,7,55,0,30,45,0,0,0,4
2021-07-14,23,7,61,0,31,46,0,0,0,8
2021-07-15,27,10,66,0,30,56,0,0,0,0
2021-07-16,28,8,66,0,29,53,0,0,0,0
2021-07-17,17,7,39,0,21,40,0,0,0,0
2021-07-18,13,6,32,0,17,40,0,0,0,5
2021-07-19,29,8,66,0,32,58,0,0,0,5
2021-07-20,29,9,70,0,35,64,0,0,0,4
2021-07-21,24,7,62,0,32,65,0,0,0,6
2021-07-22,24,6,59,0,30,60,0,0,0,0
2021-07-23,32,7,67,0,35,60,0,0,0,5
2021-07-24,18,9,43,0,24,49,0,0,0,0
2021-07-25,15,6,33,0,17,42,0,0,0,0
2021-07-26,37,9,75,0,38,79,0,0,0,3
2021-07-27,31,9,70,0,38,72,0,0,0,5
2021-07-28,33,9,68,0,34,79,0,0,0,9
2021-07-29,31,8,72,0,36,75,0,0,0,6
2021-07-30,38,8,71,0,36,70,0,0,0,0
2021-07-31,23,8,50,0,27,58,0,0,0,4
2021-08-01,19,6,40,0,16,56,0,0,0,0
2021-08-02,40,11,75,0,42,76,0,0,0,9
2021-08-03,34,9,76,0,35,74,0,0,0,4
2021-08-04,31,7,62,0,34,79,0,0,0,4
2021-08-05,28,10,63,0,33,75,0,0,0,4
2021-08-06,31,8,60,0,32,65,0,0,0,4
2021-08-07,18,8,37,0,21,48,0,0,0,7
2021-08-08,13,7,24,0,14,39,0,0,0,6
2021-08-09,15,8,31,0,18,50,0,0,0,5
2021-08-10,28,7,59,0,30,66,0,0,0,3
2021-08-11,27,8,59,0,32,72,0,0,0,4
2021-08-12,26,7,58,0,30,65,0,0,0,4
2021-08-13,28,8,63,0,34,69,0,0,0,4
2021-08-14,15,6,37,0,19,51,0,0,0,0
2021-08-15,14,7,28,0,13,34,0,0,0,0
