date,Online banking,Capitec Bank,Standard Bank,FNB (First National Bank),Nedbank,Loan,Investment app,trading platforms,mutual funds,stocks
2023-01-08,8,4,18,0,13,61,0,0,0,4
2023-01-09,19,5,39,0,26,91,0,0,0,4
2023-01-10,18,6,37,0,25,96,0,0,0,5
2023-01-11,18,5,37,0,24,90,0,0,0,8
2023-01-12,17,5,36,0,25,87,0,0,0,5
2023-01-13,18,5,36,0,26,81,0,0,0,6
2023-01-14,11,4,25,0,16,62,0,0,0,4
2023-01-15,8,4,17,0,13,52,0,0,0,0
2023-01-16,18,6,39,0,23,87,0,0,0,8
2023-01-17,17,5,35,0,24,86,0,0,0,3
2023-01-18,16,5,35,0,23,82,0,0,0,5
2023-01-19,15,5,32,0,21,79,0,0,0,4
2023-01-20,17,5,35,0,22,77,0,0,0,5
2023-01-21,10,4,24,0,15,58,0,0,0,3
2023-01-22,8,4,18,0,12,49,0,0,0,0
2023-01-23,18,6,43,0,25,89,0,0,0,4
2023-01-24,20,5,39,0,26,75,0,0,0,6
2023-01-25,23,6,49,0,31,77,0,0,0,4
2023-01-26,22,5,48,0,32,91,0,0,0,4
2023-01-27,23,5,50,0,28,91,0,0,0,5
2023-01-28,14,6,28,0,20,61,0,0,0,0
2023-01-29,11,4,22,0,14,50,0,0,0,0
2023-01-30,25,5,47,0,34,99,0,0,0,0
2023-01-31,25,6,52,0,36,93,0,0,0,8
2023-02-01,25,6,53,0,34,100,0,0,0,4
2023-02-02,22,5,49,0,30,99,0,0,0,5
2023-02-03,21,5,44,0,27,89,0,0,0,5
2023-02-04,11,5,25,0,18,66,0,0,0,4
2023-02-05,10,4,20,0,14,55,0,0,0,0
2023-02-06,19,6,47,0,31,100,0,0,0,4
2023-02-07,21,6,43,0,45,93,0,0,0,5
2023-02-08,18,7,38,0,49,89,0,0,4,4
2023-02-09,18,8,38,0,34,85,0,0,0,4
2023-02-10,17,6,37,0,55,74,0,0,0,3
2023-02-11,10,5,23,0,58,59,0,0,0,3
2023-02-12,9,4,19,0,39,49,0,0,0,0
2023-02-13,17,7,37,0,35,73,0,0,0,4
2023-02-14,19,6,36,0,33,79,0,0,0,6
2023-02-15,19,5,37,0,37,76,0,0,0,5
2023-02-16,17,5,36,0,27,83,0,0,0,3
2023-02-17,16,5,35,0,23,71,0,0,0,3
2023-02-18,9,4,22,0,15,62,0,0,0,0
2023-02-19,8,4,17,0,14,43,0,0,0,3
2023-02-20,17,5,38,0,24,72,0,0,0,0
2023-02-21,18,4,36,0,25,72,0,0,0,4
2023-02-22,17,6,36,0,22,77,0,0,0,4
2023-02-23,17,5,40,0,24,74,0,0,0,5
2023-02-24,23,7,49,0,31,72,0,0,0,0
2023-02-25,15,6,31,0,22,58,0,0,0,0
2023-02-26,12,4,21,0,17,52,0,0,3,0
2023-02-27,24,7,53,0,33,97,0,0,0,0
2023-02-28,29,8,56,0,36,98,0,0,0,0
2023-03-01,25,7,49,0,31,91,0,0,0,3
2023-03-02,21,7,44,0,40,99,0,0,0,3
2023-03-03,20,6,41,0,33,84,0,0,0,5
2023-03-04,11,7,24,0,17,60,0,0,0,0
