date,Online banking,Capitec Bank,Standard Bank,FNB (First National Bank),Nedbank,Loan,Investment app,trading platforms,mutual funds,stocks
2025-01-12,7,4,13,0,10,49,0,0,0,3
2025-01-13,15,5,31,0,22,84,0,0,0,5
2025-01-14,15,4,28,0,23,72,0,0,0,4
2025-01-15,15,5,33,0,22,78,0,0,0,3
2025-01-16,15,5,33,0,22,82,0,0,0,3
2025-01-17,15,5,29,0,23,79,0,0,3,5
2025-01-18,8,4,18,0,14,70,0,0,0,0
2025-01-19,6,4,13,0,11,60,0,0,0,5
2025-01-20,15,5,28,0,22,85,0,0,0,3
2025-01-21,13,6,28,0,22,66,0,0,0,6
2025-01-22,14,5,27,0,21,76,0,0,0,0
2025-01-23,14,5,27,0,24,71,0,0,0,3
2025-01-24,18,8,37,0,35,80,0,0,0,0
2025-01-25,10,7,25,0,56,59,0,0,0,0
2025-01-26,7,5,16,0,67,49,0,0,0,0
2025-01-27,17,7,38,0,38,92,0,0,0,5
2025-01-28,18,5,34,0,43,90,0,0,0,10
2025-01-29,17,5,33,0,39,77,0,0,0,5
2025-01-30,18,7,36,0,33,90,0,0,0,5
2025-01-31,21,7,43,0,32,91,0,0,0,3
2025-02-01,13,6,27,0,21,65,0,0,0,4
2025-02-02,8,5,19,0,14,54,0,0,0,4
2025-02-03,19,6,39,0,26,100,0,0,0,0
2025-02-04,16,6,38,0,28,87,0,0,0,7
2025-02-05,17,4,30,0,24,86,0,0,0,5
2025-02-06,16,7,30,0,24,89,0,0,0,6
2025-02-07,18,6,32,0,32,77,0,0,0,0
2025-02-08,8,6,21,0,15,59,0,0,0,5
2025-02-09,7,5,14,0,12,57,0,0,0,0
2025-02-10,16,6,33,0,23,80,0,0,0,5
2025-02-11,14,5,28,0,22,73,0,0,0,3
2025-02-12,14,6,29,0,29,78,0,0,0,0
2025-02-13,16,6,29,0,30,73,0,0,0,4
2025-02-14,17,8,33,0,42,73,0,0,0,3
2025-02-15,11,7,18,0,83,54,0,0,0,4
2025-02-16,7,4,17,0,43,53,0,0,0,4
2025-02-17,15,6,29,0,42,77,0,0,0,4
2025-02-18,13,5,28,0,27,76,0,0,0,5
2025-02-19,13,4,24,0,21,65,0,0,0,6
2025-02-20,15,5,29,0,21,68,0,0,0,3
2025-02-21,15,5,28,0,22,67,0,0,0,4
2025-02-22,6,4,17,0,14,53,0,0,0,0
2025-02-23,6,3,15,0,10,39,0,0,0,0
2025-02-24,18,5,34,0,26,72,0,0,0,4
2025-02-25,18,6,38,0,27,76,0,0,0,4
2025-02-26,18,6,37,0,31,84,0,0,0,4
2025-02-27,21,7,40,0,29,79,0,0,0,0
2025-02-28,27,8,47,0,36,83,0,0,0,4
