date,Online banking,Capitec Bank,Standard Bank,FNB (First National Bank),Nedbank,Loan,Investment app,trading platforms,mutual funds,stocks
2023-07-09,17,9,39,0,27,49,0,0,0,5
2023-07-10,36,10,73,0,53,71,0,0,0,3
2023-07-11,31,10,72,0,49,70,0,0,0,4
2023-07-12,33,10,69,0,51,70,0,0,0,4
2023-07-13,29,9,68,0,51,67,0,0,0,4
2023-07-14,33,12,81,0,48,67,0,0,0,5
2023-07-15,22,9,48,0,33,55,0,0,0,4
2023-07-16,20,9,36,0,27,44,0,0,0,0
2023-07-17,38,13,81,0,48,71,0,0,0,0
2023-07-18,34,13,70,0,52,69,0,0,0,5
2023-07-19,29,11,69,0,49,60,0,0,0,3
2023-07-20,32,12,65,0,48,60,0,0,0,3
2023-07-21,30,10,74,0,47,57,0,0,0,4
2023-07-22,19,8,45,0,34,55,0,0,0,3
2023-07-23,15,8,39,0,25,40,0,0,0,3
2023-07-24,40,10,73,0,52,63,0,0,0,4
2023-07-25,41,10,87,0,63,71,0,0,0,3
2023-07-26,37,12,83,0,58,73,0,0,0,4
2023-07-27,38,11,79,0,58,74,0,0,0,4
2023-07-28,40,11,82,0,62,72,0,0,0,4
2023-07-29,23,10,53,0,32,63,0,0,0,0
2023-07-30,21,10,42,0,32,47,0,0,0,5
2023-07-31,49,12,98,0,67,82,0,0,0,0
2023-08-01,42,12,93,0,63,84,0,0,0,4
2023-08-02,39,11,85,0,59,76,0,0,0,4
2023-08-03,39,11,76,0,55,75,0,0,0,5
2023-08-04,33,12,78,0,56,64,0,0,0,4
2023-08-05,20,11,47,0,34,49,0,0,0,0
2023-08-06,19,8,39,0,29,48,0,0,0,0
2023-08-07,34,11,78,0,52,72,0,0,0,0
2023-08-08,31,11,66,0,50,65,0,0,0,3
2023-08-09,18,9,39,0,29,52,0,0,0,0
2023-08-10,28,11,65,0,47,68,0,0,0,4
2023-08-11,31,9,64,0,47,72,0,0,0,0
2023-08-12,18,9,41,0,28,47,0,0,0,0
2023-08-13,14,6,31,0,22,46,0,0,0,0
2023-08-14,33,11,70,0,47,71,0,0,0,3
2023-08-15,31,11,69,0,46,70,0,0,0,2
2023-08-16,29,12,67,0,45,71,0,0,0,3
2023-08-17,28,11,68,0,43,62,0,0,0,3
2023-08-18,32,11,69,0,48,60,0,0,0,0
2023-08-19,16,7,40,0,26,45,0,0,0,0
2023-08-20,14,8,31,0,22,45,0,0,0,4
2023-08-21,30,8,69,0,45,70,0,0,0,0
2023-08-22,30,10,64,0,46,75,0,0,0,4
2023-08-23,27,8,65,0,46,63,0,0,0,0
2023-08-24,32,9,67,0,47,58,0,0,0,3
2023-08-25,38,11,85,0,53,61,0,0,0,0
2023-08-26,22,11,47,0,38,57,0,0,0,0
2023-08-27,16,8,37,0,24,48,0,0,0,0
2023-08-28,37,12,78,0,60,78,0,0,0,0
2023-08-29,36,12,76,0,57,88,0,0,0,3
2023-08-30,33,11,75,0,51,73,0,0,0,3
2023-08-31,44,16,87,0,61,79,0,0,0,3
2023-09-01,43,14,91,0,56,83,0,0,0,4
2023-09-02,23,10,51,0,38,53,0,0,0,0
2023-09-03,16,9,35,0,25,48,0,0,0,0
2023-09-04,42,12,77,0,54,84,0,0,0,3
2023-09-05,37,10,77,0,53,83,0,0,0,6
2023-09-06,32,10,71,0,52,83,0,0,0,0
2023-09-07,29,10,69,0,52,71,0,0,0,0
2023-09-08,34,10,72,0,51,66,0,0,0,4
2023-09-09,16,9,42,0,35,51,0,0,0,0
2023-09-10,13,7,31,0,22,39,0,0,0,0
2023-09-11,29,11,69,0,47,76,0,0,0,4
2023-09-12,32,10,66,0,47,67,0,0,0,0
2023-09-13,26,8,63,0,42,70,0,0,0,0
2023-09-14,29,10,64,0,46,69,0,0,0,3
2023-09-15,29,11,71,0,47,64,0,0,0,3
2023-09-16,18,9,39,0,30,46,0,0,0,0
2023-09-17,15,7,30,0,21,36,0,0,0,0
2023-09-18,33,9,71,0,46,70,0,0,0,3
2023-09-19,28,11,63,0,46,68,0,0,0,4
2023-09-20,28,10,61,0,44,60,0,0,0,3
2023-09-21,28,9,64,0,42,64,0,0,0,3
2023-09-22,38,11,78,0,56,62,0,0,0,0
2023-09-23,21,9,43,0,34,45,0,0,0,0
2023-09-24,15,8,30,0,24,43,0,0,0,0
2023-09-25,21,9,41,0,33,52,0,0,0,0
2023-09-26,42,17,86,0,68,86,0,0,0,0
2023-09-27,36,12,77,0,57,78,0,0,0,2
2023-09-28,36,12,86,0,61,80,0,0,0,0
2023-09-29,45,14,100,0,68,78,0,0,0,3
2023-09-30,28,14,60,0,43,61,0,0,0,0
2023-10-01,23,11,47,0,35,57,0,0,0,0
2023-10-02,47,12,94,0,65,95,0,0,0,5
2023-10-03,37,12,86,0,59,76,0,0,0,5
2023-10-04,31,11,73,0,55,75,0,0,0,3
2023-10-05,34,12,73,0,56,77,0,0,0,3
2023-10-06,33,11,70,0,50,76,0,0,0,4
2023-10-07,19,9,41,0,30,54,0,0,0,0
2023-10-08,13,10,35,0,24,47,0,0,0,0
2023-10-09,31,11,70,0,50,75,0,0,0,3
2023-10-10,28,11,70,0,51,81,0,0,0,4
2023-10-11,28,11,67,0,58,75,0,0,0,0
2023-10-12,28,9,59,0,44,68,0,0,0,5
2023-10-13,30,9,69,0,48,64,0,0,0,0
2023-10-14,16,9,43,0,28,53,0,0,0,0
2023-10-15,14,8,33,0,25,46,0,0,0,0
2023-10-16,27,10,65,0,48,73,0,0,0,3
2023-10-17,29,8,66,1,45,74,0,0,0,0
2023-10-18,27,10,67,0,45,65,0,0,0,3
2023-10-19,31,10,67,0,44,81,0,0,0,3
2023-10-20,30,9,63,0,40,64,0,0,0,0
2023-10-21,15,9,36,0,25,46,0,0,0,0
2023-10-22,15,8,34,0,23,42,0,0,0,0
2023-10-23,31,10,70,0,48,71,0,0,0,3
2023-10-24,31,10,66,0,45,67,0,0,0,4
2023-10-25,37,13,82,0,58,75,0,0,0,4
2023-10-26,37,12,79,0,51,70,0,0,0,0
2023-10-27,35,14,76,0,53,62,0,0,0,3
2023-10-28,19,9,40,0,31,48,0,0,0,0
2023-10-29,16,7,32,0,21,46,0,0,0,0
2023-10-30,36,11,83,0,52,78,0,0,0,3
2023-10-31,40,12,84,0,60,88,0,0,0,0
2023-11-01,40,12,83,0,57,81,0,0,0,0
2023-11-02,38,10,78,0,59,95,0,0,0,0
2023-11-03,35,11,72,0,56,77,0,0,0,3
2023-11-04,22,11,43,0,33,63,0,0,0,6
2023-11-05,16,7,34,0,25,52,0,0,0,3
2023-11-06,32,12,78,0,54,87,0,0,0,4
2023-11-07,28,10,70,0,48,74,0,0,0,4
2023-11-08,29,11,61,0,45,79,0,0,0,3
2023-11-09,32,10,65,0,48,80,0,0,0,3
2023-11-10,29,11,67,0,45,80,0,0,0,3
2023-11-11,16,9,41,0,27,56,0,0,0,0
2023-11-12,13,6,32,0,21,45,0,0,0,5
2023-11-13,29,10,67,0,45,83,0,0,0,3
2023-11-14,28,11,63,0,48,81,0,0,0,4
2023-11-15,28,11,67,0,49,82,0,0,0,0
2023-11-16,31,10,63,0,44,73,0,0,0,3
2023-11-17,30,10,66,0,47,67,0,0,0,4
2023-11-18,17,9,46,0,29,64,0,0,0,4
2023-11-19,12,8,32,0,23,52,0,0,0,0
2023-11-20,29,10,71,2,44,75,0,0,0,3
2023-11-21,27,11,68,0,41,71,0,0,0,3
2023-11-22,28,10,64,0,46,73,0,0,0,4
2023-11-23,30,8,70,0,47,69,0,0,0,4
2023-11-24,36,12,79,0,54,69,0,0,0,0
2023-11-25,27,10,59,0,39,57,0,0,0,0
2023-11-26,15,8,38,0,26,45,0,0,0,0
2023-11-27,36,11,86,0,57,89,0,0,0,4
2023-11-28,35,11,80,0,60,85,0,0,0,3
2023-11-29,35,12,78,0,53,84,0,0,0,4
2023-11-30,43,12,95,0,66,96,0,0,0,0
2023-12-01,42,13,95,0,67,88,4,0,0,0
2023-12-02,28,11,55,0,44,69,0,0,0,0
2023-12-03,20,12,38,0,25,58,0,0,0,0
2023-12-04,41,14,89,0,64,94,0,0,0,5
2023-12-05,37,11,77,0,62,87,0,0,0,0
2023-12-06,34,10,77,0,57,79,0,0,0,4
2023-12-07,34,10,77,0,49,81,0,0,0,3
2023-12-08,28,11,68,0,49,74,0,0,0,3
