date,Online banking,Capitec Bank,Standard Bank,FNB (First National Bank),Nedbank,Loan,Investment app,trading platforms,mutual funds,stocks
2024-07-11,24,7,55,0,41,60,0,0,0,5
2024-07-12,23,9,56,0,41,68,0,0,0,3
2024-07-13,13,8,36,0,26,56,0,0,0,0
2024-07-14,9,5,28,0,17,44,0,0,0,4
2024-07-15,26,9,64,0,44,71,0,0,0,4
2024-07-16,26,9,57,0,42,76,0,0,0,5
2024-07-17,25,8,54,0,41,65,0,0,0,4
2024-07-18,24,8,58,0,40,69,0,0,0,4
2024-07-19,28,15,59,0,42,56,0,0,0,4
2024-07-20,15,9,41,0,24,46,0,0,0,0
2024-07-21,12,8,27,0,24,41,0,0,0,0
2024-07-22,25,10,61,0,45,64,0,0,0,4
2024-07-23,25,9,63,0,42,60,0,0,0,6
2024-07-24,26,10,68,0,43,58,0,0,0,5
2024-07-25,32,12,77,0,49,70,0,0,0,4
2024-07-26,31,10,72,0,52,70,0,0,0,0
2024-07-27,16,9,46,0,30,53,0,0,0,0
2024-07-28,14,8,31,0,22,43,0,0,0,0
2024-07-29,33,10,71,0,52,73,0,0,0,6
2024-07-30,33,10,71,0,47,74,0,0,0,4
2024-07-31,33,10,75,0,54,75,0,0,0,0
2024-08-01,35,14,78,0,54,84,0,0,0,4
2024-08-02,37,17,74,0,55,80,0,0,0,4
2024-08-03,17,12,42,0,37,53,0,0,0,0
2024-08-04,10,8,28,0,22,46,0,0,0,5
2024-08-05,28,10,67,0,48,79,0,0,0,5
2024-08-06,30,10,63,0,49,71,0,0,0,7
2024-08-07,26,10,64,0,47,79,0,0,0,6
2024-08-08,28,11,63,0,46,60,0,0,0,3
2024-08-09,16,9,34,0,26,50,0,0,0,0
2024-08-10,11,10,35,0,23,49,0,0,0,0
2024-08-11,12,8,28,0,19,41,0,0,0,0
2024-08-12,25,10,54,0,45,73,0,0,0,4
2024-08-13,28,8,61,0,42,60,0,0,0,5
2024-08-14,25,9,52,0,41,60,0,0,0,3
2024-08-15,29,12,62,0,39,66,0,0,0,3
2024-08-16,29,12,58,0,45,68,0,0,0,5
2024-08-17,13,11,36,0,23,42,0,0,0,6
2024-08-18,12,7,26,0,21,43,0,0,0,0
2024-08-19,32,10,62,0,41,61,0,0,0,4
2024-08-20,29,9,64,0,42,65,0,0,0,3
2024-08-21,31,10,54,0,38,56,0,0,0,4
2024-08-22,29,11,56,0,41,61,0,0,0,3
2024-08-23,37,15,70,0,45,58,0,0,0,0
2024-08-24,18,9,44,0,29,58,0,0,0,0
2024-08-25,15,8,35,0,23,44,0,0,0,0
2024-08-26,36,13,73,0,48,78,0,0,0,5
2024-08-27,32,10,65,0,48,73,0,0,0,3
2024-08-28,32,10,66,0,49,68,0,0,0,3
2024-08-29,35,10,68,0,49,76,0,0,0,3
2024-08-30,41,12,80,0,57,70,0,0,0,3
2024-08-31,22,10,43,0,36,57,0,0,0,0
2024-09-01,19,11,40,0,27,45,0,0,0,4
2024-09-02,35,12,76,0,56,80,0,0,0,3
2024-09-03,37,11,73,0,52,79,0,0,0,3
2024-09-04,30,11,66,0,46,80,0,0,0,4
2024-09-05,27,11,64,0,46,73,0,0,0,4
2024-09-06,25,11,65,2,47,73,0,0,0,4
2024-09-07,16,10,39,0,30,58,0,0,0,0
2024-09-08,13,8,27,0,23,44,0,0,0,4
2024-09-09,26,10,66,0,46,72,0,0,0,6
2024-09-10,24,10,60,0,41,69,0,0,0,4
2024-09-11,26,10,61,0,40,66,0,0,0,0
2024-09-12,25,14,58,0,42,70,0,0,0,3
2024-09-13,30,11,58,0,44,66,0,0,0,3
2024-09-14,13,9,33,0,25,43,0,0,0,0
2024-09-15,11,6,27,0,15,44,0,0,0,0
