date,iPhone,Vodacom,MTN,Telkom,Samsung,Huawei,Mobile app,Download,Gmail,Cell C
2022-05-02,89,62,51,52,47,34,0,36,38,16
2022-05-03,74,83,56,57,44,35,2,33,70,19
2022-05-04,67,67,50,57,45,34,2,33,69,16
2022-05-05,73,73,51,56,44,37,1,30,71,23
2022-05-06,65,71,50,52,47,33,0,34,69,17
2022-05-07,81,55,41,49,45,35,0,38,32,14
2022-05-08,79,51,38,41,48,32,1,35,31,13
2022-05-09,78,69,47,55,44,32,2,30,72,15
2022-05-10,76,63,52,59,42,36,0,36,72,16
2022-05-11,69,65,48,53,39,31,1,32,69,15
2022-05-12,65,58,49,50,43,32,0,35,74,15
2022-05-13,72,61,47,50,45,31,3,40,75,15
2022-05-14,81,55,43,45,42,28,3,37,38,12
2022-05-15,78,49,34,41,46,26,2,37,33,13
2022-05-16,73,70,49,56,46,31,2,33,77,18
2022-05-17,74,69,50,78,43,31,0,31,75,16
2022-05-18,67,63,44,51,44,33,2,33,75,17
2022-05-19,72,56,46,52,42,33,2,34,79,14
2022-05-20,73,58,41,52,40,35,2,36,70,15
2022-05-21,76,53,42,48,47,34,0,35,33,14
2022-05-22,79,50,33,43,43,29,0,35,37,11
2022-05-23,74,64,44,58,48,33,0,31,81,18
2022-05-24,72,66,48,54,45,38,1,31,79,19
2022-05-25,69,66,49,58,44,33,0,32,79,16
2022-05-26,76,61,44,56,46,36,1,32,78,15
2022-05-27,69,68,43,51,47,34,1,38,70,14
2022-05-28,84,58,41,51,47,36,2,39,41,15
2022-05-29,81,53,39,44,50,33,0,36,36,13
2022-05-30,74,68,50,59,43,31,0,31,82,17
2022-05-31,75,66,51,62,47,37,0,31,82,19
2022-06-01,69,72,52,62,42,32,2,35,81,20
2022-06-02,71,67,50,57,46,31,0,31,78,15
2022-06-03,70,58,50,54,44,34,0,40,73,14
2022-06-04,85,61,44,52,51,33,3,42,39,14
2022-06-05,84,54,39,46,49,32,2,35,37,11
2022-06-06,72,67,46,64,47,32,2,35,82,18
2022-06-07,80,71,45,52,47,29,1,37,83,17
2022-06-08,76,69,46,54,45,31,1,34,87,15
2022-06-09,73,63,41,53,40,30,0,35,87,16
2022-06-10,75,64,49,51,45,32,2,38,80,16
2022-06-11,99,57,45,46,48,34,2,37,40,12
2022-06-12,98,54,43,47,52,31,0,37,34,12
2022-06-13,87,66,49,55,45,35,2,35,86,15
2022-06-14,73,57,49,53,44,31,0,35,80,15
2022-06-15,77,64,45,55,47,28,2,37,82,15
2022-06-16,85,54,42,52,47,31,2,42,45,16
2022-06-17,91,63,50,56,51,34,0,39,67,14
2022-06-18,90,56,41,46,48,33,2,39,39,15
2022-06-19,87,51,41,49,46,30,0,35,40,10
2022-06-20,82,68,49,64,42,32,0,38,83,18
2022-06-21,78,64,51,54,44,33,2,40,82,19
2022-06-22,73,68,51,57,47,34,0,35,82,17
2022-06-23,80,65,46,54,46,32,0,36,73,14
2022-06-24,76,70,47,56,46,29,2,40,78,18
2022-06-25,90,71,50,58,46,33,2,45,40,16
2022-06-26,97,65,47,53,51,33,2,45,41,18
2022-06-27,88,79,62,65,51,32,0,42,85,16
2022-06-28,76,82,53,67,50,35,0,40,84,18
2022-06-29,88,74,54,61,44,29,2,41,88,17
2022-06-30,81,78,52,63,44,29,0,38,80,17
2022-07-01,88,84,56,70,47,33,3,45,78,18
2022-07-02,82,67,52,60,48,32,0,44,45,13
2022-07-03,91,59,48,48,48,33,3,44,38,16
2022-07-04,82,79,54,65,46,26,0,39,84,18
2022-07-05,83,82,54,59,48,32,0,41,80,15
2022-07-06,77,70,57,58,42,33,0,42,84,18
