date,iPhone,Vodacom,MTN,Telkom,Samsung,Huawei,Mobile app,Download,Gmail,Cell C
2022-07-07,36,35,22,27,21,42,2,54,90,20
2022-07-08,38,33,23,28,20,43,2,55,79,21
2022-07-09,42,27,20,23,22,49,0,52,46,14
2022-07-10,44,26,21,22,23,40,0,49,45,14
2022-07-11,40,33,26,28,21,40,2,51,93,17
2022-07-12,42,31,26,24,20,39,0,47,95,17
2022-07-13,35,30,24,27,20,40,0,52,92,16
2022-07-14,42,30,24,26,20,41,2,48,93,17
2022-07-15,41,32,25,28,22,37,0,53,82,17
2022-07-16,42,28,21,24,23,42,0,60,49,16
2022-07-17,47,29,20,23,23,36,2,53,49,15
2022-07-18,39,31,24,27,20,38,2,51,91,17
2022-07-19,41,31,22,26,19,37,0,51,96,18
2022-07-20,39,29,23,25,20,37,0,47,91,18
2022-07-21,37,29,21,24,20,36,2,47,93,16
2022-07-22,38,27,21,24,20,39,2,49,85,13
2022-07-23,42,26,20,22,21,40,2,53,42,13
2022-07-24,45,27,20,21,22,38,0,52,51,13
2022-07-25,39,32,23,28,20,41,2,43,99,19
2022-07-26,37,33,23,26,19,38,0,50,100,17
2022-07-27,35,27,22,24,22,37,1,47,96,16
2022-07-28,39,31,22,26,20,38,0,47,93,16
2022-07-29,41,29,21,24,20,37,0,48,89,16
2022-07-30,37,28,19,22,20,39,2,55,46,15
2022-07-31,39,27,21,21,22,36,3,54,44,15
2022-08-01,37,37,24,27,20,41,2,45,100,19
2022-08-02,32,30,24,26,20,44,2,46,92,19
2022-08-03,35,30,24,24,18,39,2,44,92,15
2022-08-04,40,28,23,29,20,38,2,48,93,15
2022-08-05,48,30,21,23,20,37,2,48,80,18
2022-08-06,37,25,21,22,21,41,0,52,42,14
2022-08-07,39,25,18,19,19,38,0,49,41,14
2022-08-08,42,29,23,24,21,42,1,52,75,17
2022-08-09,43,26,19,22,21,37,2,49,50,13
2022-08-10,35,29,21,25,23,36,0,40,94,18
2022-08-11,39,30,23,25,20,37,1,41,99,16
2022-08-12,41,28,22,25,22,38,1,47,90,15
2022-08-13,39,25,18,19,20,39,0,50,43,10
2022-08-14,41,25,18,19,20,32,2,44,41,13
2022-08-15,37,28,21,25,20,38,2,42,98,16
2022-08-16,37,29,23,25,19,37,1,40,90,16
2022-08-17,36,27,22,22,20,33,2,43,95,17
2022-08-18,36,26,21,24,18,35,0,41,88,17
2022-08-19,34,29,20,22,20,39,2,43,90,16
2022-08-20,38,26,18,22,21,36,2,46,43,14
2022-08-21,38,24,19,18,19,33,0,41,36,11
2022-08-22,35,26,22,23,18,36,1,39,91,15
2022-08-23,35,27,21,26,19,36,2,39,91,16
2022-08-24,36,27,21,24,19,36,0,43,85,17
2022-08-25,37,29,23,24,20,35,1,40,89,17
2022-08-26,38,29,26,26,21,43,0,46,84,18
2022-08-27,36,23,61,20,18,39,0,46,40,13
2022-08-28,34,22,94,18,20,32,2,45,40,13
2022-08-29,30,28,41,24,21,35,0,40,85,17
2022-08-30,34,28,26,21,19,33,2,37,89,16
2022-08-31,30,27,23,23,19,35,2,41,86,15
2022-09-01,35,30,24,24,18,33,2,40,87,18
2022-09-02,34,28,23,20,19,33,2,41,78,16
2022-09-03,36,24,21,16,19,33,2,45,39,15
2022-09-04,39,22,17,17,21,35,0,42,40,9
2022-09-05,38,31,22,24,21,36,0,38,83,16
2022-09-06,35,26,20,21,18,34,2,42,84,17
2022-09-07,61,28,19,19,18,32,0,36,79,16
2022-09-08,93,28,24,20,19,35,2,39,74,15
2022-09-09,60,29,22,21,20,34,2,43,81,15
2022-09-10,65,26,19,20,21,33,2,47,37,14
2022-09-11,56,24,18,17,21,31,2,39,38,12
2022-09-12,49,29,23,24,19,37,0,37,89,18
2022-09-13,49,27,20,21,20,32,2,38,82,15
2022-09-14,47,27,22,21,21,38,0,38,85,16
2022-09-15,47,30,23,22,19,37,2,37,79,17
2022-09-16,56,30,23,23,21,36,0,41,69,16
2022-09-17,59,27,21,24,22,36,3,43,40,16
2022-09-18,58,27,20,20,20,33,0,39,38,15
2022-09-19,49,31,22,25,19,32,0,36,78,16
2022-09-20,47,32,23,25,20,33,2,35,83,18
2022-09-21,51,34,21,24,22,37,2,37,78,18
2022-09-22,46,32,21,23,21,39,0,39,79,15
2022-09-23,48,29,22,27,21,35,0,36,77,18
2022-09-24,50,28,21,21,22,38,0,42,36,16
2022-09-25,55,27,23,20,21,38,0,48,40,15
2022-09-26,45,31,25,25,19,34,1,40,84,19
2022-09-27,45,30,25,26,19,35,0,43,84,17
2022-09-28,44,31,24,26,20,35,0,44,85,18
2022-09-29,43,30,25,25,22,41,3,45,86,18
2022-09-30,42,31,25,26,21,38,0,42,85,17
2022-10-01,42,31,52,23,20,40,3,43,37,15
2022-10-02,45,26,56,19,19,37,0,42,45,15
2022-10-03,42,32,30,25,21,39,0,40,83,18
2022-10-04,41,31,25,26,20,37,2,45,80,17
2022-10-05,40,31,24,25,20,38,0,44,81,19
2022-10-06,40,30,23,23,21,37,2,43,78,17
2022-10-07,42,31,22,23,20,36,2,43,68,16
2022-10-08,44,27,21,21,21,40,0,49,40,15
2022-10-09,45,22,18,18,21,34,2,42,35,12
2022-10-10,44,33,23,23,22,41,2,44,87,16
2022-10-11,41,31,22,23,18,38,2,40,86,16
2022-10-12,40,31,27,21,19,41,2,41,79,18
2022-10-13,38,26,23,20,20,39,1,38,86,17
2022-10-14,41,28,22,21,20,38,0,43,76,14
2022-10-15,43,24,18,17,24,42,2,52,40,16
2022-10-16,43,20,17,16,19,41,0,43,36,11
2022-10-17,37,28,22,23,19,35,0,40,85,15
2022-10-18,39,29,22,24,19,35,3,40,76,16
2022-10-19,38,27,21,22,20,34,2,34,84,18
2022-10-20,38,26,22,22,20,34,2,38,84,16
2022-10-21,41,29,22,21,19,41,0,41,77,16
2022-10-22,42,25,60,22,20,37,2,41,37,13
2022-10-23,45,25,72,21,18,38,0,42,34,13
2022-10-24,40,31,27,22,21,39,2,34,81,19
2022-10-25,38,34,24,25,20,38,2,35,79,19
2022-10-26,37,31,23,24,20,35,2,38,74,16
2022-10-27,36,27,21,21,19,36,0,36,76,19
2022-10-28,38,31,22,22,21,37,0,42,64,13
2022-10-29,39,25,21,19,21,35,0,41,34,11
2022-10-30,44,29,20,17,20,34,0,40,38,16
2022-10-31,40,33,24,25,20,35,0,37,85,17
2022-11-01,37,36,24,25,22,35,2,40,80,20
2022-11-02,38,35,23,23,20,38,2,40,82,18
2022-11-03,34,33,24,22,17,36,0,40,78,17
2022-11-04,38,36,27,23,21,36,0,40,67,16
2022-11-05,40,28,100,21,20,33,2,43,34,14
2022-11-06,41,27,26,15,19,34,2,41,34,12
2022-11-07,38,36,27,22,21,36,3,36,79,17
2022-11-08,37,35,23,23,21,34,2,41,75,16
2022-11-09,36,31,21,21,20,37,1,38,78,15
2022-11-10,32,34,21,20,18,31,0,38,71,16
2022-11-11,39,34,21,22,20,39,0,39,75,17
2022-11-12,34,27,19,18,22,33,0,39,32,11
2022-11-13,40,26,18,17,19,38,2,41,33,10
2022-11-14,40,36,22,23,22,37,1,41,81,17
2022-11-15,40,36,24,24,21,36,1,38,85,15
2022-11-16,36,31,24,25,21,35,1,38,84,16
2022-11-17,40,29,24,21,22,34,2,38,83,15
2022-11-18,39,33,27,24,22,40,2,42,69,16
2022-11-19,39,30,22,19,23,37,0,42,39,15
2022-11-20,40,28,20,19,23,36,0,38,40,13
2022-11-21,37,30,22,23,21,36,2,35,79,16
2022-11-22,33,33,30,23,22,32,0,36,73,19
2022-11-23,37,31,23,23,22,36,0,39,72,16
2022-11-24,36,34,23,22,22,37,2,37,68,16
2022-11-25,41,38,26,23,24,42,0,36,65,17
2022-11-26,36,30,20,21,24,39,2,46,36,15
2022-11-27,43,30,22,21,26,36,0,41,41,15
2022-11-28,39,37,24,25,25,36,2,41,76,17
2022-11-29,37,32,24,27,20,35,2,40,79,19
2022-11-30,36,36,25,27,21,35,2,41,78,18
2022-12-01,31,39,25,25,19,34,2,41,74,20
2022-12-02,34,32,23,22,20,37,0,42,67,15
2022-12-03,37,29,23,20,22,37,0,45,40,17
2022-12-04,39,28,20,20,24,38,0,46,41,13
2022-12-05,38,33,26,25,23,35,0,36,80,22
2022-12-06,37,35,24,24,21,36,0,40,89,18
2022-12-07,39,35,24,23,21,37,2,37,83,17
2022-12-08,41,35,23,23,23,40,2,38,69,16
2022-12-09,36,29,23,19,19,35,2,37,65,17
2022-12-10,37,28,20,19,20,32,0,37,37,14
2022-12-11,41,28,22,23,24,40,0,46,38,14
2022-12-12,42,35,27,28,24,39,2,41,82,18
2022-12-13,42,32,24,22,21,35,0,42,71,19
2022-12-14,38,32,24,22,22,41,0,37,72,16
2022-12-15,38,32,25,24,23,37,0,39,70,20
2022-12-16,40,31,21,21,24,37,0,39,44,16
2022-12-17,42,33,22,22,20,36,0,39,36,16
2022-12-18,37,27,18,17,23,31,0,38,32,14
2022-12-19,38,33,25,27,26,37,0,39,67,20
2022-12-20,40,33,26,27,26,42,2,44,60,21
2022-12-21,44,33,24,27,25,39,2,46,59,19
