date,iPhone,Vodacom,MTN,Telkom,Samsung,Huawei,Mobile app,Download,Gmail,Cell C
2018-12-30,37,46,29,61,24,19,0,15,17,9
2018-12-31,33,58,32,72,29,18,0,16,20,8
2019-01-01,38,54,29,58,26,15,0,17,17,8
2019-01-02,39,67,42,81,31,21,0,15,27,11
2019-01-03,41,65,35,71,30,20,0,17,32,11
2019-01-04,41,58,35,66,35,22,0,14,32,11
2019-01-05,39,50,27,60,30,20,0,18,23,9
2019-01-06,38,48,25,52,24,19,0,13,24,8
2019-01-07,37,66,36,80,33,20,0,12,42,12
2019-01-08,37,65,33,79,30,22,0,15,43,11
2019-01-09,35,62,35,76,32,19,0,12,43,9
2019-01-10,37,61,34,72,30,18,0,13,44,11
2019-01-11,36,59,34,70,31,21,0,14,37,11
2019-01-12,39,47,32,57,30,20,0,17,27,9
2019-01-13,39,42,24,51,26,17,0,14,24,7
2019-01-14,37,57,34,73,32,17,0,13,46,11
2019-01-15,34,55,28,77,29,19,0,14,40,9
2019-01-16,35,57,34,72,28,20,0,14,45,11
2019-01-17,37,53,35,71,31,19,0,12,40,11
2019-01-18,37,50,32,70,32,18,0,15,38,10
2019-01-19,37,50,29,62,28,21,0,15,22,9
2019-01-20,42,48,30,54,28,17,0,13,23,9
2019-01-21,37,56,35,74,28,20,0,11,45,11
2019-01-22,33,59,37,74,23,19,0,13,44,11
2019-01-23,35,54,35,66,28,17,0,14,43,11
2019-01-24,36,55,32,75,30,20,0,14,44,11
2019-01-25,36,52,36,74,27,21,1,15,40,10
2019-01-26,41,44,34,64,30,20,0,18,22,10
2019-01-27,37,47,30,57,25,15,0,15,21,8
2019-01-28,35,60,35,79,30,20,0,14,47,11
2019-01-29,33,59,35,75,24,18,0,14,43,11
2019-01-30,32,67,32,76,25,18,0,16,41,11
2019-01-31,34,100,35,71,27,22,1,13,41,12
2019-02-01,36,67,40,79,29,22,0,15,38,13
2019-02-02,40,55,33,60,25,23,0,16,22,10
2019-02-03,39,45,28,59,28,21,0,18,22,8
2019-02-04,32,59,36,76,32,22,0,15,40,9
2019-02-05,33,57,32,69,27,19,1,13,42,10
2019-02-06,32,56,31,65,28,20,0,14,42,9
2019-02-07,36,64,32,82,28,21,0,15,39,10
2019-02-08,36,58,30,70,30,21,0,15,38,10
2019-02-09,44,52,30,58,27,23,1,17,23,9
2019-02-10,41,50,28,57,25,21,0,16,21,6
2019-02-11,36,55,33,70,26,20,0,14,40,11
2019-02-12,33,61,34,71,29,20,0,13,41,12
2019-02-13,28,55,31,66,26,19,0,14,40,11
2019-02-14,32,55,32,60,27,20,0,14,37,10
2019-02-15,32,60,33,72,29,20,0,15,40,11
2019-02-16,43,58,29,55,29,21,1,20,24,8
2019-02-17,43,42,27,53,28,20,0,15,21,8
2019-02-18,32,56,33,68,31,21,0,13,41,11
2019-02-19,33,56,38,71,28,21,0,13,41,9
2019-02-20,32,58,34,70,40,21,1,13,39,10
2019-02-21,39,58,37,73,43,23,0,15,39,10
2019-02-22,36,56,39,66,42,21,0,16,37,13
2019-02-23,38,53,33,65,41,24,0,16,23,11
2019-02-24,40,51,32,56,30,25,0,15,19,9
2019-02-25,31,67,37,78,31,28,1,14,40,13
2019-02-26,37,63,32,75,30,24,1,13,42,12
2019-02-27,37,66,32,68,30,24,0,13,40,11
2019-02-28,33,69,35,74,30,21,1,14,42,13
2019-03-01,40,72,44,70,32,26,1,17,36,15
2019-03-02,38,52,28,56,38,21,0,17,22,9
2019-03-03,41,50,31,49,33,22,0,18,22,9
2019-03-04,34,61,35,71,31,24,1,16,41,10
2019-03-05,35,56,34,68,33,20,0,14,30,10
2019-03-06,32,54,34,65,27,19,0,13,32,11
2019-03-07,31,61,33,69,31,23,0,14,38,12
2019-03-08,33,63,31,60,33,22,0,15,29,11
2019-03-09,35,56,30,55,36,22,0,16,22,9
2019-03-10,34,42,28,45,32,21,0,18,19,8
2019-03-11,34,66,32,70,30,23,0,13,37,9
2019-03-12,33,53,33,65,31,24,0,13,39,10
2019-03-13,34,55,33,65,27,22,0,15,40,9
2019-03-14,32,55,29,61,31,22,0,16,37,9
2019-03-15,31,55,31,63,28,23,0,16,34,9
2019-03-16,38,49,31,54,30,23,0,17,21,10
2019-03-17,38,42,34,59,26,21,0,16,18,11
2019-03-18,37,58,34,73,30,24,0,15,34,10
2019-03-19,33,56,35,75,30,25,0,15,35,11
2019-03-20,36,51,29,69,30,24,1,16,31,10
2019-03-21,39,45,27,61,31,25,2,16,26,9
2019-03-22,37,53,33,66,30,27,0,15,35,11
2019-03-23,33,48,33,56,30,26,0,18,16,10
2019-03-24,41,46,29,56,30,24,0,17,18,8
2019-03-25,34,56,35,76,31,23,0,15,39,11
2019-03-26,38,59,33,71,32,31,0,17,42,11
2019-03-27,37,56,36,72,28,37,0,18,39,12
2019-03-28,37,57,33,79,30,33,1,16,39,11
2019-03-29,37,55,41,66,31,35,0,17,32,10
2019-03-30,39,47,31,64,30,34,0,19,14,10
2019-03-31,36,46,35,66,30,28,0,16,14,10
2019-04-01,39,69,46,82,28,30,2,16,29,12
2019-04-02,39,65,40,73,30,30,0,16,31,11
2019-04-03,40,58,36,67,27,32,1,16,30,11
2019-04-04,38,58,31,67,30,32,0,15,27,10
2019-04-05,33,57,38,55,28,34,1,16,27,9
2019-04-06,37,52,28,56,28,31,0,19,15,9
2019-04-07,38,53,30,51,30,33,0,15,14,10
2019-04-08,35,66,42,72,29,34,1,15,29,11
2019-04-09,38,62,37,74,30,31,1,13,26,10
2019-04-10,35,58,34,62,31,26,1,13,26,10
2019-04-11,31,61,35,67,29,33,0,15,26,12
2019-04-12,36,55,35,62,33,31,0,15,22,12
2019-04-13,34,44,33,55,30,31,0,16,14,8
2019-04-14,39,48,25,64,26,22,1,17,12,7
2019-04-15,33,54,36,73,30,29,0,16,26,12
2019-04-16,32,59,33,74,28,29,0,13,29,11
2019-04-17,30,51,34,60,28,27,2,16,28,9
2019-04-18,33,59,31,63,29,26,0,17,25,10
2019-04-19,36,44,27,61,38,27,2,22,11,9
2019-04-20,41,42,27,55,30,26,0,20,11,8
2019-04-21,44,45,27,53,31,28,0,18,10,8
2019-04-22,42,51,32,62,31,28,0,18,15,9
2019-04-23,35,57,38,75,31,25,0,15,24,12
2019-04-24,34,60,33,67,30,29,0,15,23,10
2019-04-25,37,54,38,74,31,29,0,16,24,11
2019-04-26,36,53,40,74,31,34,1,16,25,9
2019-04-27,43,49,31,55,36,34,0,19,15,8
2019-04-28,39,40,28,60,30,29,0,16,15,8
2019-04-29,34,57,34,76,28,33,0,16,26,12
2019-04-30,37,63,42,78,34,35,0,16,26,12
2019-05-01,42,57,36,69,33,39,0,18,19,11
2019-05-02,33,62,35,72,31,34,0,15,25,12
2019-05-03,34,55,35,70,33,34,0,17,25,12
2019-05-04,38,50,31,56,29,29,2,18,16,9
2019-05-05,40,42,27,48,30,29,2,16,14,7
2019-05-06,30,61,31,74,32,28,0,14,25,11
2019-05-07,30,60,32,61,27,29,0,17,28,10
2019-05-08,34,48,25,51,28,25,0,17,21,8
2019-05-09,30,51,27,63,32,23,0,13,24,11
2019-05-10,30,53,29,60,31,24,0,17,28,10
2019-05-11,29,42,25,51,38,23,0,17,19,8
2019-05-12,36,41,28,52,30,23,1,19,17,8
2019-05-13,37,64,31,72,32,27,0,15,30,10
2019-05-14,32,63,32,72,30,25,0,16,39,12
2019-05-15,31,55,31,72,28,25,0,17,35,11
2019-05-16,33,55,31,71,32,28,0,15,34,9
2019-05-17,34,51,33,74,31,27,0,17,24,8
2019-05-18,39,49,28,57,30,26,0,17,19,9
2019-05-19,38,41,25,57,31,28,0,15,16,8
2019-05-20,38,56,34,75,37,100,1,14,33,10
2019-05-21,44,51,33,74,41,93,0,14,37,11
2019-05-22,42,55,35,67,43,64,0,16,30,12
2019-05-23,40,55,34,65,37,44,1,16,24,11
2019-05-24,37,52,30,65,40,40,0,17,24,11
2019-05-25,39,45,28,56,38,32,0,18,15,9
2019-05-26,44,46,28,52,39,35,0,15,14,9
2019-05-27,36,57,36,83,34,31,0,15,27,11
2019-05-28,39,56,34,78,39,27,1,14,23,11
2019-05-29,35,49,30,64,37,29,0,16,26,11
2019-05-30,38,54,36,68,36,25,0,14,24,11
2019-05-31,38,60,32,67,36,21,0,16,26,10
2019-06-01,37,51,37,60,40,24,0,18,16,12
2019-06-02,41,44,27,50,36,20,1,15,16,8
2019-06-03,41,63,38,70,34,25,0,14,24,11
2019-06-04,39,55,32,62,32,23,1,14,26,11
2019-06-05,31,53,32,67,36,22,1,15,24,9
2019-06-06,35,56,30,66,35,22,1,17,24,10
2019-06-07,38,56,31,53,38,26,0,16,20,10
2019-06-08,43,50,26,52,37,26,0,16,13,9
2019-06-09,42,44,23,52,37,22,0,18,12,9
2019-06-10,37,57,37,70,39,23,0,15,24,11
2019-06-11,34,51,34,68,38,22,0,17,22,10
2019-06-12,36,58,35,65,35,22,1,15,26,11
2019-06-13,36,54,31,68,35,23,0,17,24,11
2019-06-14,36,55,34,67,43,21,0,15,21,11
2019-06-15,39,41,32,56,39,21,1,17,13,10
2019-06-16,36,44,28,55,35,21,0,20,10,9
2019-06-17,46,49,34,59,36,23,0,18,15,10
2019-06-18,39,55,35,69,41,22,0,17,22,11
2019-06-19,34,55,38,69,38,20,0,16,23,9
2019-06-20,33,56,36,74,37,20,1,18,23,11
2019-06-21,37,53,36,64,38,21,0,16,22,10
2019-06-22,36,51,29,56,41,24,1,17,13,9
2019-06-23,39,49,26,62,37,22,0,17,15,8
2019-06-24,37,62,39,74,38,22,0,16,22,13
