date,iPhone,Vodacom,MTN,Telkom,Samsung,Huawei,Mobile app,Download,Gmail,Cell C
2024-07-11,41,30,23,18,25,39,0,43,81,14
2024-07-12,47,32,22,18,24,39,0,48,82,16
2024-07-13,49,29,24,19,29,42,0,52,39,14
2024-07-14,48,25,18,16,23,37,0,47,41,13
2024-07-15,42,29,25,22,23,37,0,43,87,14
2024-07-16,43,34,26,21,24,39,0,40,91,18
2024-07-17,50,30,24,21,26,36,0,45,83,13
2024-07-18,47,29,24,21,21,38,0,45,87,13
2024-07-19,43,31,22,20,23,35,0,41,80,17
2024-07-20,50,29,20,18,27,37,0,52,40,18
2024-07-21,51,27,22,17,25,40,0,45,42,11
2024-07-22,43,28,24,19,24,36,0,42,85,17
2024-07-23,40,30,23,20,22,38,0,45,88,18
2024-07-24,41,30,23,18,21,38,0,40,87,15
2024-07-25,40,31,23,20,23,37,0,46,91,16
2024-07-26,42,28,21,21,25,38,0,47,77,14
2024-07-27,46,26,21,17,26,37,0,50,38,15
2024-07-28,49,25,22,15,26,36,0,49,44,13
2024-07-29,42,33,25,23,24,34,0,40,79,17
2024-07-30,40,28,25,18,24,35,0,40,82,16
2024-07-31,41,29,27,22,24,38,2,42,87,16
2024-08-01,40,32,27,21,22,32,0,45,84,19
2024-08-02,40,31,26,21,23,35,0,39,80,15
2024-08-03,48,26,60,18,25,36,0,48,41,17
2024-08-04,51,24,49,14,23,35,0,43,43,11
2024-08-05,40,32,31,21,23,34,0,40,84,17
2024-08-06,39,29,25,21,21,34,0,41,88,15
2024-08-07,42,32,24,21,22,35,2,45,83,14
2024-08-08,40,29,24,18,24,32,0,40,82,18
2024-08-09,47,26,25,18,27,35,0,51,44,13
2024-08-10,44,23,42,15,23,38,0,54,36,11
2024-08-11,46,23,47,15,22,33,0,49,37,14
2024-08-12,46,28,25,20,22,35,3,39,92,15
2024-08-13,40,27,24,18,19,34,0,45,87,15
2024-08-14,38,30,22,17,20,32,0,39,85,12
2024-08-15,43,29,21,17,20,35,0,42,93,12
2024-08-16,41,26,24,20,20,36,0,43,88,18
2024-08-17,45,26,21,18,24,34,2,50,38,11
2024-08-18,46,24,19,14,22,32,0,48,45,9
2024-08-19,41,29,24,18,22,32,2,40,88,14
2024-08-20,41,27,21,19,23,36,0,41,91,15
2024-08-21,41,26,21,19,20,32,3,46,88,15
2024-08-22,42,28,21,19,21,33,0,38,83,14
2024-08-23,44,29,21,19,22,33,2,49,72,16
2024-08-24,45,23,22,18,24,39,0,52,43,11
2024-08-25,48,24,20,15,24,36,0,46,39,14
2024-08-26,47,31,25,20,22,36,0,44,95,17
2024-08-27,47,30,36,19,22,35,0,42,88,19
2024-08-28,40,29,54,22,18,31,0,40,76,19
2024-08-29,40,27,32,18,20,34,0,45,81,16
2024-08-30,43,29,25,19,25,31,0,49,90,19
2024-08-31,46,27,44,18,22,31,0,49,38,15
2024-09-01,48,24,56,14,24,34,0,51,39,14
2024-09-02,43,32,34,22,23,36,3,44,87,19
2024-09-03,48,29,29,21,21,32,3,48,86,18
2024-09-04,41,31,27,17,22,33,0,45,92,15
2024-09-05,39,26,24,18,20,32,4,50,83,16
2024-09-06,40,28,23,17,20,34,0,49,84,16
2024-09-07,45,22,21,15,22,35,0,55,43,14
2024-09-08,51,25,21,15,24,31,0,51,43,12
2024-09-09,71,34,27,20,23,37,0,45,90,15
2024-09-10,100,31,24,18,24,38,4,44,87,14
2024-09-11,86,31,27,18,22,44,0,49,85,15
2024-09-12,65,30,24,19,24,47,0,45,89,15
2024-09-13,71,32,21,19,22,42,0,49,85,11
2024-09-14,65,26,20,16,22,38,0,53,39,13
2024-09-15,62,26,19,14,23,39,0,49,40,13
2024-09-16,60,33,23,20,24,38,0,46,90,17
2024-09-17,54,26,22,20,21,33,0,46,88,15
2024-09-18,56,31,23,18,22,38,0,42,87,15
2024-09-19,59,28,24,21,22,37,0,46,82,13
2024-09-20,61,31,24,20,22,42,0,44,72,16
2024-09-21,61,26,19,16,23,34,0,51,36,10
2024-09-22,65,27,20,18,25,37,0,47,35,13
2024-09-23,60,33,24,22,22,42,0,46,77,14
2024-09-24,61,25,22,16,24,35,3,51,49,13
2024-09-25,53,34,24,21,22,35,0,47,81,14
2024-09-26,53,28,22,22,23,36,3,47,76,15
2024-09-27,51,31,23,20,21,35,0,53,73,15
2024-09-28,48,22,17,16,20,31,0,50,35,12
2024-09-29,51,24,21,17,20,31,0,46,40,12
2024-09-30,48,34,25,22,23,35,0,44,90,15
2024-10-01,52,32,26,22,22,33,0,41,94,17
2024-10-02,42,31,25,21,19,32,3,42,89,14
2024-10-03,46,30,25,18,19,33,4,47,81,13
2024-10-04,48,32,29,20,23,31,0,45,88,14
2024-10-05,50,24,87,17,21,29,0,48,39,12
2024-10-06,51,27,25,17,22,31,0,50,45,13
2024-10-07,48,32,24,22,23,35,3,38,83,16
2024-10-08,50,34,22,18,22,34,0,44,88,17
2024-10-09,41,31,21,18,21,29,0,46,85,17
2024-10-10,43,28,21,17,22,35,0,41,85,13
2024-10-11,45,24,20,14,22,32,0,49,85,17
2024-10-12,53,24,19,15,25,37,0,57,46,13
2024-10-13,51,26,19,16,26,34,0,52,41,12
2024-10-14,47,28,19,18,20,31,0,40,100,15
2024-10-15,46,28,21,19,20,33,2,46,90,14
2024-10-16,51,31,22,19,22,34,2,46,90,12
2024-10-17,43,28,23,19,24,34,3,44,85,13
2024-10-18,45,26,20,18,22,35,0,47,83,13
2024-10-19,47,24,17,15,22,34,0,50,39,13
2024-10-20,48,21,17,15,22,31,0,55,42,12
2024-10-21,42,26,19,21,22,33,2,44,84,13
2024-10-22,47,27,21,17,20,31,0,39,82,15
2024-10-23,45,26,20,18,19,33,0,43,84,13
2024-10-24,41,27,21,18,20,36,0,43,84,16
2024-10-25,42,28,19,20,21,36,3,42,78,13
2024-10-26,47,24,19,17,24,30,0,59,39,12
2024-10-27,49,22,16,15,22,30,0,49,37,13
2024-10-28,48,33,20,18,23,32,0,40,87,15
2024-10-29,46,28,22,19,21,33,3,42,81,14
2024-10-30,41,30,21,20,22,36,2,43,85,16
2024-10-31,43,32,20,19,20,36,0,44,86,16
2024-11-01,47,33,21,19,23,34,0,56,80,16
2024-11-02,50,27,19,19,23,35,0,58,40,15
2024-11-03,51,26,19,14,22,31,0,60,41,11
2024-11-04,46,31,22,21,24,31,0,45,81,18
2024-11-05,40,30,22,19,20,34,0,52,79,17
2024-11-06,40,27,19,17,19,31,0,48,72,17
2024-11-07,43,33,20,19,20,31,0,53,79,12
2024-11-08,42,33,23,18,22,29,0,63,69,15
2024-11-09,48,26,17,15,21,35,0,71,38,11
2024-11-10,49,25,16,13,24,31,0,57,35,9
2024-11-11,48,33,21,19,23,33,3,46,89,19
2024-11-12,49,31,21,21,20,34,0,50,80,20
2024-11-13,43,30,21,20,21,28,0,48,80,13
2024-11-14,47,33,21,19,22,37,0,51,75,16
2024-11-15,43,30,21,20,22,36,0,59,77,14
2024-11-16,51,28,20,15,25,35,0,58,39,14
2024-11-17,53,26,20,13,24,33,0,64,40,12
2024-11-18,55,32,25,23,24,36,0,43,85,21
2024-11-19,55,33,24,21,25,39,2,48,86,20
2024-11-20,53,33,23,21,24,40,0,43,86,20
2024-11-21,50,32,21,20,24,36,0,48,83,16
2024-11-22,52,29,21,20,22,35,0,50,75,15
2024-11-23,57,26,21,20,26,38,0,57,38,16
2024-11-24,54,26,18,17,25,38,0,49,40,17
2024-11-25,50,31,24,22,24,38,3,48,79,19
2024-11-26,49,31,23,22,25,40,0,51,74,15
2024-11-27,52,32,21,19,23,37,0,45,76,17
2024-11-28,56,37,23,24,27,36,0,51,79,18
2024-11-29,59,38,25,23,32,43,0,54,74,16
2024-11-30,55,30,21,21,27,39,0,57,40,14
2024-12-01,54,31,19,19,26,39,0,53,35,12
2024-12-02,59,41,25,25,28,42,0,53,90,20
2024-12-03,57,36,23,24,25,39,2,54,79,17
2024-12-04,52,34,25,23,26,36,0,49,80,16
2024-12-05,52,37,21,20,23,39,0,49,80,15
2024-12-06,48,31,22,23,23,33,0,58,70,15
2024-12-07,51,26,17,16,25,36,0,48,40,13
2024-12-08,54,26,18,17,23,40,0,51,42,15
2024-12-09,54,34,22,20,26,38,0,50,87,13
2024-12-10,54,32,24,20,25,34,0,47,80,18
2024-12-11,56,28,23,21,25,36,3,51,79,14
2024-12-12,54,31,21,20,25,37,0,50,79,15
2024-12-13,55,28,22,17,26,35,0,48,74,14
2024-12-14,48,26,18,15,24,33,3,46,40,16
2024-12-15,53,28,18,14,25,30,0,51,29,13
2024-12-16,54,28,17,17,27,37,0,54,47,14
2024-12-17,52,34,24,21,27,37,0,54,69,21
2024-12-18,49,32,22,22,26,41,0,52,68,17
2024-12-19,57,28,25,21,23,42,0,52,70,12
2024-12-20,47,30,21,24,26,35,0,54,64,19
2024-12-21,50,28,19,19,23,37,5,53,40,15
2024-12-22,54,28,18,17,25,34,0,54,36,13
2024-12-23,51,30,21,20,24,37,0,48,55,16
2024-12-24,52,25,21,16,23,36,0,53,45,16
2024-12-25,56,26,18,16,25,30,0,53,34,12
2024-12-26,53,25,19,16,24,30,0,58,31,12
2024-12-27,62,31,23,21,28,40,0,59,46,16
2024-12-28,54,31,20,19,26,40,0,56,34,13
2024-12-29,55,25,19,17,24,38,0,52,33,13
2024-12-30,53,32,24,20,27,45,0,56,51,19
2024-12-31,50,30,21,19,22,30,0,51,44,16
2025-01-01,56,33,22,17,27,31,0,59,40,12
2025-01-02,62,39,25,23,25,36,0,51,54,21
2025-01-03,59,33,24,21,25,34,0,53,61,16
2025-01-04,51,27,19,19,21,31,0,54,39,12
