date,iPhone,Vodacom,MTN,Telkom,Samsung,Huawei,Mobile app,Download,Gmail,Cell C
2021-01-04,75,82,58,76,47,41,0,31,32,17
2021-01-05,71,80,55,71,49,41,0,31,38,18
2021-01-06,72,79,50,68,49,42,0,32,35,18
2021-01-07,69,80,52,72,48,44,0,32,32,18
2021-01-08,61,69,42,62,47,40,0,33,34,14
2021-01-09,70,57,37,57,47,36,0,36,25,12
2021-01-10,74,58,37,50,39,35,2,33,20,12
2021-01-11,69,79,50,68,45,38,0,34,37,18
2021-01-12,73,75,51,70,42,37,2,34,39,15
2021-01-13,66,69,48,74,42,43,3,30,43,15
2021-01-14,69,82,57,71,51,42,0,34,37,20
2021-01-15,70,85,54,81,49,42,2,35,38,20
2021-01-16,70,65,46,67,49,42,0,29,23,14
2021-01-17,68,63,41,58,43,32,2,25,22,16
2021-01-18,68,82,52,83,45,43,2,33,43,17
2021-01-19,61,78,47,73,47,40,0,32,40,15
2021-01-20,63,71,51,69,47,37,2,32,40,17
2021-01-21,67,73,50,71,50,45,1,35,40,19
2021-01-22,65,78,50,71,54,44,0,30,40,21
2021-01-23,63,61,42,62,45,42,2,33,23,16
2021-01-24,61,58,44,56,43,34,0,29,18,15
2021-01-25,60,77,55,75,49,48,0,35,41,18
2021-01-26,58,79,49,74,52,38,2,31,41,19
2021-01-27,60,70,48,75,48,39,0,35,42,19
2021-01-28,56,71,45,70,47,42,0,35,42,17
2021-01-29,57,72,45,69,49,42,2,32,36,15
2021-01-30,60,72,41,59,50,39,0,31,22,15
2021-01-31,65,67,40,57,51,41,0,33,24,14
2021-02-01,60,100,57,82,50,41,0,34,46,21
2021-02-02,53,91,51,71,49,43,2,34,42,17
2021-02-03,58,80,44,69,42,40,2,34,43,17
2021-02-04,60,73,45,68,48,41,2,35,42,17
2021-02-05,60,72,46,65,51,44,0,34,43,18
2021-02-06,59,69,39,63,48,38,0,36,22,12
2021-02-07,60,61,40,56,47,41,2,30,19,14
2021-02-08,63,80,44,69,45,38,0,31,46,18
2021-02-09,53,75,46,68,46,37,2,32,43,17
2021-02-10,56,74,39,72,50,42,0,31,48,18
2021-02-11,55,71,44,66,43,38,0,31,45,19
2021-02-12,52,75,41,60,46,42,0,32,40,17
2021-02-13,56,54,37,52,43,41,3,33,25,12
2021-02-14,59,49,37,48,47,36,0,33,21,15
2021-02-15,53,72,49,69,44,40,0,27,49,18
2021-02-16,57,75,46,68,46,36,2,32,42,15
2021-02-17,52,68,44,62,43,42,2,26,45,14
2021-02-18,53,68,43,69,40,37,0,34,41,15
2021-02-19,59,65,44,68,46,42,0,33,41,18
2021-02-20,59,57,41,60,45,35,0,33,21,14
2021-02-21,61,54,33,59,45,40,3,30,23,14
2021-02-22,53,66,43,65,42,39,0,28,44,14
2021-02-23,75,64,43,67,39,37,0,30,42,16
2021-02-24,58,62,44,60,44,37,1,30,47,13
