date,Lodging,Flight,Hotel,Guest House,Booking,FlySafair,Lift Airline,Car Rental
2024-07-11,0,41,79,36,28,45,0,67
2024-07-12,0,30,79,37,27,60,0,65
2024-07-13,0,33,79,33,19,50,0,60
2024-07-14,0,33,65,27,20,54,0,52
2024-07-15,0,32,81,36,27,47,14,58
2024-07-16,4,39,94,34,28,54,17,86
2024-07-17,0,39,88,34,27,59,0,55
2024-07-18,0,39,83,37,26,51,0,55
2024-07-19,0,44,85,46,24,47,0,62
2024-07-20,0,41,79,39,19,48,0,47
2024-07-21,0,45,62,32,16,43,0,67
2024-07-22,0,33,84,39,31,60,0,79
2024-07-23,0,34,84,43,35,46,0,81
2024-07-24,0,32,81,42,29,52,0,55
2024-07-25,0,40,78,42,28,63,0,58
2024-07-26,0,37,85,45,28,50,0,60
2024-07-27,0,28,73,40,17,44,0,51
2024-07-28,0,44,65,33,15,44,0,47
2024-07-29,0,36,83,40,29,61,0,78
2024-07-30,0,32,79,41,27,49,11,69
2024-07-31,0,31,74,36,28,65,0,65
2024-08-01,0,33,76,40,25,32,0,63
2024-08-02,0,34,85,43,28,52,0,61
2024-08-03,0,27,73,37,12,45,0,45
2024-08-04,0,37,73,29,21,52,0,65
2024-08-05,0,34,80,36,26,54,0,79
2024-08-06,0,34,81,33,28,42,0,84
2024-08-07,0,38,76,39,31,61,0,58
2024-08-08,0,32,83,35,26,54,16,69
2024-08-09,0,34,89,41,20,37,0,42
2024-08-10,0,32,65,41,21,39,0,42
2024-08-11,0,39,70,33,15,46,0,47
2024-08-12,0,39,84,39,27,59,0,77
2024-08-13,0,36,84,42,25,39,0,71
2024-08-14,0,39,83,43,27,87,0,79
2024-08-15,0,37,79,38,26,63,0,62
2024-08-16,0,30,81,35,18,44,0,60
2024-08-17,0,29,64,35,18,46,0,63
2024-08-18,0,34,65,35,18,39,0,56
2024-08-19,0,33,82,39,30,56,12,79
2024-08-20,0,35,82,40,27,44,0,56
2024-08-21,0,34,84,36,31,48,0,67
2024-08-22,0,32,85,39,28,58,0,78
2024-08-23,0,31,75,43,22,40,0,58
2024-08-24,0,32,62,41,19,33,0,55
2024-08-25,0,39,61,37,18,46,0,51
2024-08-26,0,34,84,42,25,55,13,64
2024-08-27,0,36,78,41,29,53,0,74
2024-08-28,0,39,83,39,24,37,0,76
2024-08-29,0,32,83,44,30,44,0,68
2024-08-30,0,36,83,48,30,46,0,65
2024-08-31,0,33,76,46,23,41,0,45
2024-09-01,0,34,60,34,19,44,0,51
2024-09-02,0,36,81,36,37,50,0,56
2024-09-03,0,37,81,41,38,56,15,66
2024-09-04,0,35,86,45,28,63,0,57
2024-09-05,0,36,77,43,31,48,0,65
2024-09-06,0,31,86,48,26,45,0,76
2024-09-07,0,29,78,44,16,35,0,33
2024-09-08,0,44,77,35,21,43,0,69
2024-09-09,3,37,100,48,33,66,0,70
2024-09-10,0,32,75,39,28,56,16,69
2024-09-11,0,37,87,45,30,66,0,63
2024-09-12,0,40,90,48,30,68,14,64
2024-09-13,0,37,88,47,21,45,0,69
2024-09-14,0,29,76,39,19,43,0,55
2024-09-15,5,36,80,34,21,54,0,60
2024-09-16,0,40,93,43,29,84,14,59
2024-09-17,0,33,87,46,31,53,10,72
2024-09-18,0,40,87,42,29,56,11,67
2024-09-19,0,34,86,47,25,52,11,78
2024-09-20,0,38,89,52,28,48,0,73
2024-09-21,0,35,80,47,20,30,0,49
2024-09-22,0,43,77,38,21,53,14,56
2024-09-23,0,37,88,46,34,53,0,74
2024-09-24,0,37,68,40,28,41,0,69
2024-09-25,0,36,79,40,34,47,0,55
2024-09-26,0,36,97,45,34,42,0,73
2024-09-27,0,34,82,49,28,41,0,64
2024-09-28,0,28,67,42,19,42,0,46
2024-09-29,0,37,66,35,17,61,0,47
