date,Lodging,Flight,Hotel,Guest House,Booking,FlySafair,Lift Airline,Car Rental
2024-01-10,0,46,98,43,32,15,2,15
2024-01-11,0,42,86,38,35,13,0,16
2024-01-12,0,47,85,38,22,13,0,15
2024-01-13,0,44,84,42,19,12,0,12
2024-01-14,0,51,83,32,20,10,0,13
2024-01-15,0,46,96,36,32,14,0,17
2024-01-16,0,42,76,32,29,12,0,17
2024-01-17,0,43,84,32,28,13,0,17
2024-01-18,0,42,73,28,24,9,0,17
2024-01-19,0,39,76,36,24,11,3,15
2024-01-20,0,43,80,34,21,10,0,9
2024-01-21,0,47,66,30,19,12,0,9
2024-01-22,0,43,83,40,23,10,2,15
2024-01-23,0,40,78,33,28,12,2,13
2024-01-24,0,40,83,34,25,11,0,12
2024-01-25,0,35,82,40,26,15,0,14
2024-01-26,0,38,89,37,26,13,0,13
2024-01-27,0,32,79,44,20,5,0,10
2024-01-28,0,42,84,37,17,9,0,13
2024-01-29,0,34,85,38,26,11,2,17
2024-01-30,0,36,81,39,24,12,0,12
2024-01-31,0,36,79,36,23,12,3,17
2024-02-01,0,36,86,40,25,14,3,13
2024-02-02,0,36,94,41,24,13,3,15
2024-02-03,0,38,89,43,18,10,0,9
2024-02-04,0,49,81,34,20,15,3,11
2024-02-05,0,39,90,43,25,13,0,17
2024-02-06,0,36,85,40,25,12,2,16
2024-02-07,0,39,82,36,23,12,3,15
2024-02-08,0,40,93,42,20,11,2,14
2024-02-09,0,41,97,44,23,10,2,16
2024-02-10,0,33,85,33,17,8,0,12
2024-02-11,0,44,81,35,20,11,5,10
2024-02-12,0,40,88,36,26,12,2,13
2024-02-13,0,41,94,38,28,11,4,19
2024-02-14,0,32,100,44,20,11,3,13
2024-02-15,0,34,96,41,21,11,2,13
2024-02-16,0,40,93,49,20,10,0,15
2024-02-17,0,33,83,38,16,6,0,11
2024-02-18,0,40,79,34,14,8,0,12
2024-02-19,0,40,92,37,22,12,3,15
2024-02-20,0,36,95,44,17,11,3,15
2024-02-21,3,42,92,36,22,14,3,15
2024-02-22,0,37,89,41,21,11,3,14
2024-02-23,0,41,88,43,17,10,2,13
2024-02-24,0,34,90,39,22,10,0,9
2024-02-25,0,37,79,32,15,10,0,12
2024-02-26,0,40,82,38,26,10,2,15
2024-02-27,0,36,92,42,21,13,0,15
2024-02-28,0,35,77,39,23,10,2,14
2024-02-29,0,35,82,40,23,13,3,15
2024-03-01,0,34,91,43,24,10,0,14
2024-03-02,0,29,76,44,20,9,4,10
2024-03-03,0,46,77,29,15,11,4,11
2024-03-04,0,37,83,38,24,12,2,15
2024-03-05,0,35,81,32,29,10,3,16
2024-03-06,0,35,77,40,28,10,2,15
2024-03-07,0,36,80,40,25,13,3,16
2024-03-08,0,45,87,39,19,10,4,14
2024-03-09,0,56,80,39,18,7,0,11
2024-03-10,0,47,72,33,14,9,5,11
2024-03-11,0,39,95,39,23,14,2,17
2024-03-12,0,39,86,42,24,14,2,14
2024-03-13,0,40,91,40,24,10,3,15
2024-03-14,0,40,88,40,21,13,0,12
2024-03-15,0,40,91,45,21,10,0,12
2024-03-16,0,40,80,43,16,10,3,11
2024-03-17,0,41,85,38,17,13,3,11
2024-03-18,0,41,96,40,31,16,3,16
2024-03-19,0,42,100,39,28,14,0,18
2024-03-20,0,46,93,44,27,10,3,18
2024-03-21,0,35,95,42,23,13,0,14
2024-03-22,0,36,91,46,26,9,0,13
2024-03-23,0,37,87,47,18,11,0,12
2024-03-24,0,44,92,36,19,11,0,15
2024-03-25,0,39,90,43,30,10,0,17
2024-03-26,0,39,85,37,28,12,3,16
2024-03-27,0,36,88,43,34,12,3,22
2024-03-28,0,39,78,42,25,14,4,17
2024-03-29,0,36,82,42,20,12,0,14
2024-03-30,0,32,75,48,20,8,0,7
2024-03-31,0,40,72,35,19,11,0,7
2024-04-01,0,45,83,33,24,14,3,12
2024-04-02,0,37,84,37,38,12,3,17
2024-04-03,0,31,81,36,37,12,3,15
2024-04-04,0,35,79,35,27,8,3,13
2024-04-05,0,31,80,33,28,14,4,14
2024-04-06,0,37,71,40,23,7,3,9
2024-04-07,0,45,72,30,19,9,3,11
2024-04-08,0,41,87,37,28,13,0,18
2024-04-09,0,31,78,37,25,12,2,19
2024-04-10,0,33,78,31,27,12,0,17
2024-04-11,0,37,77,32,21,10,0,17
2024-04-12,0,35,94,41,20,8,3,12
2024-04-13,0,38,74,33,21,9,0,11
2024-04-14,0,40,68,29,21,8,0,8
2024-04-15,0,37,76,37,24,12,4,16
2024-04-16,0,40,90,38,23,12,3,15
2024-04-17,0,46,87,41,22,12,3,13
2024-04-18,0,47,83,38,25,11,4,16
2024-04-19,0,41,96,37,25,11,0,15
2024-04-20,0,38,80,36,19,7,0,11
2024-04-21,0,44,71,28,15,14,0,11
2024-04-22,0,41,89,37,28,14,0,16
2024-04-23,0,37,79,40,22,10,0,13
2024-04-24,0,39,79,41,22,9,0,14
2024-04-25,0,39,79,43,23,12,4,17
2024-04-26,0,39,85,52,21,15,4,15
2024-04-27,0,34,77,44,17,8,0,10
2024-04-28,0,38,68,36,20,9,0,8
2024-04-29,0,33,76,38,26,11,0,17
2024-04-30,0,34,82,37,24,10,0,16
2024-05-01,0,37,73,32,18,12,0,11
2024-05-02,0,36,86,44,28,9,3,16
2024-05-03,0,35,85,40,26,9,0,16
2024-05-04,0,41,78,39,18,8,0,9
2024-05-05,0,39,66,33,19,6,0,10
2024-05-06,0,42,78,39,25,10,2,16
2024-05-07,0,35,86,38,29,14,2,11
2024-05-08,0,62,85,35,60,100,5,14
2024-05-09,0,37,79,40,27,16,0,14
2024-05-10,0,38,87,39,24,10,0,10
2024-05-11,0,36,73,36,19,9,0,7
2024-05-12,0,31,76,27,19,10,0,12
2024-05-13,0,38,80,40,28,12,3,17
2024-05-14,0,31,81,38,26,9,2,14
2024-05-15,0,32,84,35,23,9,3,11
2024-05-16,0,33,83,39,25,12,0,12
2024-05-17,0,32,92,41,20,9,0,14
2024-05-18,0,37,73,36,18,8,0,10
2024-05-19,0,38,71,31,16,11,0,7
2024-05-20,0,42,91,38,29,11,4,17
2024-05-21,0,40,86,40,28,9,3,13
2024-05-22,0,40,83,43,25,9,0,14
2024-05-23,0,42,74,41,26,10,0,12
2024-05-24,0,36,83,44,23,11,0,15
2024-05-25,0,39,78,35,16,10,0,11
2024-05-26,0,40,80,30,20,11,4,9
2024-05-27,0,39,85,40,30,14,0,16
2024-05-28,0,42,83,44,23,10,0,15
2024-05-29,0,40,64,37,27,9,0,11
2024-05-30,0,40,80,38,23,9,0,14
2024-05-31,0,35,77,38,21,15,0,10
