date,Lodging,Flight,Hotel,Guest House,Booking,FlySafair,Lift Airline,Car Rental
2021-01-04,0,32,54,27,20,23,0,50
2021-01-05,0,21,54,29,18,32,0,42
2021-01-06,0,22,46,26,17,20,0,43
2021-01-07,0,24,48,25,16,23,0,41
2021-01-08,0,20,54,29,16,19,13,41
2021-01-09,0,24,53,30,13,21,0,36
2021-01-10,0,25,55,22,14,26,0,38
2021-01-11,0,19,53,26,16,20,0,42
2021-01-12,0,23,49,28,17,18,0,51
2021-01-13,0,20,52,26,17,20,0,40
2021-01-14,0,21,54,27,17,32,0,36
2021-01-15,0,24,51,28,15,31,0,42
2021-01-16,0,20,50,23,15,23,0,34
2021-01-17,0,22,51,25,11,24,0,26
2021-01-18,0,14,56,31,17,25,0,49
2021-01-19,0,17,54,28,21,20,0,45
2021-01-20,0,21,56,26,21,24,0,32
2021-01-21,0,18,46,30,16,18,0,48
2021-01-22,0,22,52,34,18,21,0,44
2021-01-23,0,20,48,28,14,20,0,32
2021-01-24,0,22,47,25,13,22,0,31
2021-01-25,0,20,54,31,16,18,0,49
2021-01-26,0,19,51,32,23,27,0,44
2021-01-27,0,18,50,28,17,22,0,50
2021-01-28,0,23,48,29,18,25,0,45
2021-01-29,0,14,52,30,18,23,0,39
2021-01-30,0,19,51,29,14,17,0,41
2021-01-31,0,17,51,31,10,28,0,27
2021-02-01,0,19,47,29,19,27,0,33
2021-02-02,0,16,54,28,21,31,10,47
2021-02-03,0,20,56,29,20,32,0,49
2021-02-04,0,16,57,28,20,26,0,45
2021-02-05,0,21,63,32,18,27,0,38
2021-02-06,0,17,60,34,14,21,0,26
2021-02-07,0,17,58,25,14,36,0,36
2021-02-08,0,16,60,32,17,36,0,50
2021-02-09,0,18,70,31,27,33,0,56
2021-02-10,0,17,66,29,20,37,0,41
2021-02-11,0,19,74,37,20,36,10,40
2021-02-12,0,21,87,31,17,30,0,55
2021-02-13,0,14,84,36,15,25,0,46
2021-02-14,0,21,81,29,16,29,0,58
2021-02-15,0,23,71,31,23,45,0,58
2021-02-16,0,22,65,30,23,26,0,55
2021-02-17,0,16,62,29,21,30,0,49
