date,Lodging,Flight,Hotel,Guest House,Booking,FlySafair,Lift Airline,Car Rental
2021-07-05,0,17,36,19,30,24,0,29
2021-07-06,0,15,39,17,29,20,0,34
2021-07-07,0,17,32,16,30,26,0,39
2021-07-08,0,12,35,18,25,15,0,26
2021-07-09,0,16,37,24,28,20,0,38
2021-07-10,0,16,37,22,14,20,0,30
2021-07-11,0,16,39,16,12,16,0,28
2021-07-12,0,13,30,15,23,12,0,24
2021-07-13,0,15,42,14,25,26,0,29
2021-07-14,0,13,41,17,24,32,0,28
2021-07-15,0,16,33,19,20,31,0,36
2021-07-16,0,18,36,15,24,17,0,33
2021-07-17,0,18,35,19,14,22,0,23
2021-07-18,0,15,48,16,16,20,0,37
2021-07-19,0,17,37,21,27,31,0,42
2021-07-20,0,17,38,21,24,25,0,39
2021-07-21,0,18,41,28,28,27,0,49
2021-07-22,0,16,38,22,25,23,0,36
2021-07-23,0,13,41,25,19,18,0,40
2021-07-24,0,15,47,24,15,21,0,40
2021-07-25,0,17,44,17,15,51,0,39
2021-07-26,0,17,48,27,26,51,0,47
2021-07-27,0,16,47,23,29,52,15,43
2021-07-28,0,17,47,23,27,43,0,50
2021-07-29,0,22,45,29,26,42,0,64
2021-07-30,0,16,44,29,28,45,10,51
2021-07-31,0,16,57,29,19,34,0,48
2021-08-01,0,17,45,21,15,34,0,39
2021-08-02,0,18,49,28,27,48,0,47
2021-08-03,0,15,51,26,30,47,9,54
2021-08-04,0,17,53,27,26,38,17,42
2021-08-05,0,16,49,25,30,31,0,59
2021-08-06,0,19,57,27,26,45,0,42
2021-08-07,0,14,57,28,18,28,0,32
2021-08-08,0,17,59,28,15,23,0,45
2021-08-09,0,20,52,23,20,30,0,47
2021-08-10,0,19,47,23,27,35,0,52
2021-08-11,0,16,52,26,24,44,10,42
2021-08-12,0,18,52,28,26,35,0,48
2021-08-13,0,17,58,29,26,34,0,38
2021-08-14,0,16,47,29,16,34,0,30
2021-08-15,0,17,51,26,13,38,0,40
2021-08-16,0,22,52,31,28,44,0,46
