date,Lodging,Flight,Hotel,Guest House,Booking,FlySafair,Lift Airline,Car Rental
2020-01-02,0,59,100,32,20,68,0,100
2020-01-03,0,61,97,31,19,65,0,69
2020-01-04,0,48,90,30,18,42,0,51
2020-01-05,0,53,85,25,18,45,0,48
2020-01-06,0,53,90,32,22,44,0,69
2020-01-07,0,45,88,32,20,44,0,76
2020-01-08,0,47,80,31,16,45,0,62
2020-01-09,0,52,86,30,20,53,0,60
2020-01-10,0,52,85,30,17,43,0,55
2020-01-11,0,52,88,21,14,35,0,61
2020-01-12,0,61,80,23,13,44,0,68
2020-01-13,0,48,84,29,17,44,0,69
2020-01-14,0,47,86,29,17,47,0,65
2020-01-15,0,45,81,25,18,39,0,68
2020-01-16,0,47,84,32,20,65,0,74
2020-01-17,0,45,85,33,16,45,0,69
2020-01-18,0,45,72,26,11,39,0,55
2020-01-19,0,55,68,27,15,41,0,58
2020-01-20,0,54,84,32,17,50,0,70
2020-01-21,0,65,88,31,19,48,0,68
2020-01-22,0,58,93,30,20,48,0,70
2020-01-23,0,51,89,27,17,53,0,57
2020-01-24,0,52,88,31,12,44,0,64
2020-01-25,0,41,76,27,14,27,0,42
2020-01-26,0,51,70,22,20,52,0,50
2020-01-27,0,51,82,28,21,53,0,59
2020-01-28,0,51,85,30,22,58,0,61
2020-01-29,0,52,77,24,24,56,0,64
2020-01-30,0,49,80,29,17,55,0,57
2020-01-31,0,51,78,30,15,47,0,46
2020-02-01,0,38,66,29,15,39,0,52
2020-02-02,0,44,67,17,13,44,0,42
2020-02-03,0,43,76,33,14,48,0,67
2020-02-04,0,42,75,29,14,53,0,56
2020-02-05,0,37,84,27,16,58,0,66
2020-02-06,0,40,78,30,12,48,0,71
2020-02-07,0,43,81,31,13,43,0,66
2020-02-08,0,42,68,23,11,32,0,39
2020-02-09,0,50,69,26,11,43,0,65
2020-02-10,0,48,83,34,15,53,0,69
2020-02-11,0,38,88,37,15,47,0,71
2020-02-12,0,40,85,33,12,45,0,60
2020-02-13,0,41,81,32,12,50,0,68
2020-02-14,0,41,90,36,13,35,0,66
2020-02-15,0,41,75,30,10,49,0,45
2020-02-16,0,46,75,20,12,54,0,65
2020-02-17,4,45,83,33,14,49,0,72
2020-02-18,0,42,89,33,13,46,0,77
2020-02-19,0,39,87,31,13,45,0,73
2020-02-20,0,43,83,29,14,47,0,81
2020-02-21,0,45,86,38,14,52,0,67
2020-02-22,0,39,69,24,13,46,0,64
2020-02-23,0,47,72,25,14,48,0,57
2020-02-24,0,42,96,34,17,64,0,84
2020-02-25,0,42,88,31,15,50,0,77
2020-02-26,0,39,85,33,13,55,0,71
2020-02-27,0,41,82,28,15,55,0,67
2020-02-28,0,52,85,31,14,46,0,76
2020-02-29,0,43,70,25,9,41,0,47
2020-03-01,0,46,74,21,11,57,0,51
2020-03-02,0,43,77,32,13,51,0,74
2020-03-03,0,45,78,27,13,53,0,64
2020-03-04,0,36,73,30,11,54,0,67
2020-03-05,0,39,75,27,12,45,0,57
2020-03-06,0,44,76,31,11,41,0,53
2020-03-07,0,35,57,24,10,50,0,44
2020-03-08,0,41,59,21,11,45,0,48
2020-03-09,0,39,70,29,13,45,0,58
2020-03-10,0,39,68,32,14,39,0,62
2020-03-11,0,39,69,31,12,39,0,65
2020-03-12,0,50,72,27,9,47,0,62
2020-03-13,0,44,67,28,13,41,0,55
2020-03-14,0,45,72,28,9,41,0,52
2020-03-15,0,55,55,19,12,41,0,40
2020-03-16,0,58,49,21,20,52,0,55
2020-03-17,0,45,41,20,17,54,0,49
2020-03-18,0,49,42,23,16,40,0,38
2020-03-19,0,38,44,20,14,26,0,52
2020-03-20,0,48,41,18,14,30,0,43
