date,Lodging,Flight,Hotel,Guest House,Booking,FlySafair,Lift Airline,Car Rental
2022-07-07,0,33,76,36,22,40,10,65
2022-07-08,0,33,80,34,20,49,9,39
2022-07-09,0,36,69,30,17,51,0,45
2022-07-10,0,34,66,30,16,66,15,54
2022-07-11,0,35,82,34,23,61,15,66
2022-07-12,0,34,72,36,21,67,12,62
2022-07-13,0,33,75,35,20,59,0,52
2022-07-14,0,32,75,33,16,52,9,64
2022-07-15,0,33,70,37,17,55,0,45
2022-07-16,0,30,70,35,15,58,14,50
2022-07-17,0,38,66,27,19,57,0,39
2022-07-18,0,38,72,30,20,52,0,69
2022-07-19,0,32,72,34,20,48,0,62
2022-07-20,0,27,73,30,20,50,0,59
2022-07-21,0,32,73,32,15,48,0,60
2022-07-22,0,33,65,34,17,40,10,60
2022-07-23,0,33,68,33,12,42,0,39
2022-07-24,0,35,70,31,15,52,0,51
2022-07-25,0,33,76,36,23,55,0,65
2022-07-26,0,33,71,36,25,54,0,64
2022-07-27,0,33,74,36,16,56,0,66
2022-07-28,0,29,70,34,18,44,0,57
2022-07-29,0,30,73,37,18,44,0,72
2022-07-30,0,33,70,38,13,40,0,51
2022-07-31,0,31,60,27,14,36,0,45
2022-08-01,0,28,69,33,20,64,0,71
2022-08-02,0,31,68,33,20,50,0,60
2022-08-03,0,32,68,38,22,51,8,66
2022-08-04,0,32,73,35,18,46,0,56
2022-08-05,0,29,77,39,16,40,0,48
2022-08-06,0,27,69,37,13,33,0,31
2022-08-07,0,32,68,28,18,42,0,30
2022-08-08,0,27,71,30,17,51,0,49
2022-08-09,0,32,70,25,15,47,0,41
2022-08-10,0,29,76,30,16,38,0,50
2022-08-11,0,30,72,33,17,39,0,62
2022-08-12,0,33,81,38,18,49,0,53
2022-08-13,0,27,65,31,10,30,0,43
2022-08-14,0,31,61,27,13,43,0,56
2022-08-15,0,29,78,35,18,60,0,59
2022-08-16,0,31,78,34,21,47,9,65
2022-08-17,2,29,70,29,20,40,0,66
2022-08-18,0,32,73,36,20,40,0,45
2022-08-19,0,31,74,32,14,42,0,47
2022-08-20,0,31,68,29,16,35,0,41
2022-08-21,0,32,66,28,14,47,0,40
2022-08-22,0,30,74,33,20,61,0,70
2022-08-23,0,28,74,34,21,54,0,54
2022-08-24,0,32,72,38,19,57,0,62
2022-08-25,0,33,72,32,17,51,9,64
2022-08-26,0,28,80,39,16,45,0,58
2022-08-27,0,24,62,34,14,41,0,32
2022-08-28,0,31,59,29,11,41,0,43
2022-08-29,0,28,69,34,15,46,0,60
2022-08-30,0,28,73,34,17,51,8,57
2022-08-31,0,26,76,33,18,45,0,49
2022-09-01,0,27,64,31,17,46,0,54
2022-09-02,0,29,73,37,16,51,0,50
2022-09-03,0,28,66,37,12,28,0,40
2022-09-04,0,32,63,28,14,45,0,42
2022-09-05,0,33,72,32,19,53,0,59
2022-09-06,0,29,64,31,19,47,0,57
