date,Lodging,Flight,Hotel,Guest House,Booking,FlySafair,Lift Airline,Car Rental
2019-07-01,0,41,66,28,15,36,0,44
2019-07-02,0,43,75,24,13,32,0,40
2019-07-03,0,45,79,24,9,25,0,39
2019-07-04,0,42,78,27,11,26,0,44
2019-07-05,0,41,76,28,13,32,0,36
2019-07-06,0,43,70,21,12,24,0,34
2019-07-07,0,49,67,19,12,25,0,39
2019-07-08,0,46,79,25,13,38,0,43
2019-07-09,0,50,76,23,16,64,0,41
2019-07-10,0,48,75,25,13,40,0,43
2019-07-11,0,48,80,26,12,34,0,42
2019-07-12,0,45,74,26,12,28,0,39
2019-07-13,0,38,64,24,11,25,0,32
2019-07-14,0,46,62,20,11,25,0,41
2019-07-15,0,38,76,33,12,27,0,45
2019-07-16,0,36,80,27,11,32,0,50
2019-07-17,0,40,77,26,11,31,0,43
2019-07-18,0,35,74,28,10,27,0,44
2019-07-19,0,38,76,28,12,27,0,46
2019-07-20,0,31,65,22,11,26,0,40
2019-07-21,0,38,70,16,10,21,0,48
2019-07-22,0,39,78,31,12,33,0,49
2019-07-23,0,35,75,28,12,29,0,45
2019-07-24,0,34,80,25,12,25,0,46
2019-07-25,0,37,71,26,12,25,0,54
2019-07-26,0,34,79,26,11,24,0,36
2019-07-27,0,40,69,21,6,21,0,32
2019-07-28,0,41,98,20,12,27,0,35
2019-07-29,0,37,73,26,13,28,0,47
2019-07-30,0,32,73,27,13,26,0,43
2019-07-31,0,36,77,27,12,34,0,41
2019-08-01,0,32,67,28,12,26,0,46
2019-08-02,0,30,74,30,12,26,0,43
2019-08-03,0,31,67,20,9,26,0,33
2019-08-04,0,38,61,18,10,29,0,43
2019-08-05,0,33,77,30,11,31,0,47
2019-08-06,0,37,71,27,10,37,0,48
2019-08-07,0,37,75,30,12,36,0,42
2019-08-08,0,33,79,31,13,28,0,51
2019-08-09,0,38,73,28,11,25,0,39
2019-08-10,0,33,61,24,11,27,0,37
2019-08-11,0,45,65,22,9,34,0,33
2019-08-12,0,43,78,29,14,36,0,39
2019-08-13,0,37,77,26,11,40,0,45
2019-08-14,0,35,77,29,13,28,0,44
2019-08-15,0,35,77,27,11,27,0,39
2019-08-16,0,38,76,31,13,25,0,49
2019-08-17,0,38,65,24,10,25,0,38
2019-08-18,0,49,65,19,13,34,0,35
2019-08-19,0,42,76,32,13,41,0,47
2019-08-20,0,44,77,32,16,31,0,43
2019-08-21,0,39,81,25,13,36,0,50
2019-08-22,0,39,80,27,12,34,0,51
2019-08-23,0,38,85,29,12,32,0,47
2019-08-24,0,34,66,26,11,32,0,34
2019-08-25,0,45,57,20,11,36,0,38
2019-08-26,0,39,74,31,11,42,0,50
2019-08-27,0,43,75,31,14,36,0,52
2019-08-28,0,40,70,29,13,42,0,48
2019-08-29,0,37,74,26,11,34,0,51
2019-08-30,0,44,78,28,12,39,0,44
2019-08-31,0,36,70,25,9,27,0,35
2019-09-01,0,47,57,28,13,29,0,32
2019-09-02,0,36,68,26,12,44,0,47
2019-09-03,0,38,76,29,11,28,0,49
2019-09-04,0,36,72,27,13,29,0,35
2019-09-05,0,37,72,28,11,24,0,45
2019-09-06,0,37,74,27,11,29,0,38
2019-09-07,0,34,63,22,9,20,0,30
2019-09-08,0,46,64,19,13,36,0,37
2019-09-09,0,40,83,30,15,30,0,45
2019-09-10,0,34,76,27,12,33,0,48
2019-09-11,0,38,79,32,15,30,0,49
2019-09-12,0,35,78,29,16,34,0,39
2019-09-13,0,37,73,32,14,28,0,46
2019-09-14,0,39,63,26,8,25,0,39
2019-09-15,0,41,66,22,9,31,0,43
2019-09-16,0,37,78,36,15,41,0,56
2019-09-17,0,42,84,30,16,35,0,60
2019-09-18,0,35,79,31,16,37,0,52
2019-09-19,0,43,84,31,14,38,0,56
2019-09-20,0,40,85,35,13,32,0,60
2019-09-21,0,40,74,31,17,33,0,41
2019-09-22,0,45,71,24,12,25,0,42
2019-09-23,0,42,78,30,19,39,0,47
2019-09-24,0,43,74,26,14,39,0,48
2019-09-25,0,39,81,33,18,35,0,65
2019-09-26,0,43,81,37,19,38,0,62
2019-09-27,0,44,76,37,16,38,0,54
2019-09-28,0,38,64,31,16,22,0,35
2019-09-29,0,51,61,18,17,37,0,41
2019-09-30,0,43,66,28,16,36,0,43
2019-10-01,0,37,71,25,16,33,0,52
2019-10-02,0,41,71,28,14,30,0,38
2019-10-03,0,42,71,29,16,36,0,44
2019-10-04,0,42,76,28,13,27,0,48
2019-10-05,0,40,67,24,11,20,0,39
2019-10-06,0,51,66,20,11,30,0,34
2019-10-07,0,41,75,28,18,30,0,57
2019-10-08,0,38,77,26,15,37,0,45
2019-10-09,0,43,78,27,14,33,0,36
2019-10-10,0,39,74,27,12,37,0,47
2019-10-11,0,39,80,31,11,26,0,52
2019-10-12,0,35,72,26,12,27,0,36
2019-10-13,0,47,61,19,11,33,0,38
2019-10-14,0,42,80,30,12,31,0,50
2019-10-15,0,40,73,32,12,34,0,43
