date,Lodging,Flight,Hotel,Guest House,Booking,FlySafair,Lift Airline,Car Rental
2023-07-09,0,26,43,19,11,38,0,20
2023-07-10,0,26,47,25,15,39,0,33
2023-07-11,0,23,52,22,20,34,7,33
2023-07-12,0,24,50,24,19,34,6,38
2023-07-13,0,24,51,23,20,27,0,36
2023-07-14,0,22,48,22,14,34,0,25
2023-07-15,0,26,47,22,12,33,0,30
2023-07-16,0,29,44,20,13,27,0,34
2023-07-17,0,24,48,23,14,34,6,41
2023-07-18,0,24,49,22,16,36,0,35
2023-07-19,0,26,48,23,17,100,9,46
2023-07-20,0,21,48,21,13,42,7,42
2023-07-21,0,19,49,21,10,29,0,40
2023-07-22,0,23,43,21,11,28,0,29
2023-07-23,0,26,44,18,10,32,0,26
2023-07-24,0,19,44,24,16,30,0,36
2023-07-25,0,20,45,23,16,28,0,39
2023-07-26,0,20,43,23,14,27,0,38
2023-07-27,0,22,44,25,12,27,0,34
2023-07-28,0,20,46,24,11,26,0,35
2023-07-29,0,21,40,23,11,29,0,19
2023-07-30,0,21,44,18,11,36,0,25
2023-07-31,0,19,41,21,14,27,0,36
2023-08-01,0,18,42,21,15,27,0,35
2023-08-02,0,19,42,18,13,29,7,30
2023-08-03,0,20,47,21,15,29,5,33
2023-08-04,0,20,44,23,12,35,0,34
2023-08-05,0,17,40,23,8,24,0,23
2023-08-06,0,21,41,17,8,23,0,25
2023-08-07,0,23,47,19,14,31,0,34
2023-08-08,0,21,46,22,15,26,7,21
2023-08-09,0,17,42,19,8,17,0,31
2023-08-10,0,19,47,26,15,24,0,37
2023-08-11,0,19,49,22,11,26,0,36
2023-08-12,0,22,39,18,8,25,0,30
2023-08-13,0,23,42,17,9,32,6,23
2023-08-14,0,21,46,22,12,33,7,43
2023-08-15,0,19,47,23,13,32,0,35
2023-08-16,0,20,47,20,14,34,0,34
2023-08-17,0,22,45,21,11,33,0,32
2023-08-18,0,24,52,21,13,30,7,40
2023-08-19,0,18,43,20,9,20,0,29
2023-08-20,0,24,41,17,11,27,6,25
2023-08-21,0,23,45,23,15,30,5,47
2023-08-22,0,22,48,23,13,34,5,35
2023-08-23,0,17,48,22,11,30,0,37
2023-08-24,0,22,44,19,12,27,0,36
2023-08-25,0,20,45,22,10,28,7,30
2023-08-26,0,20,45,21,8,25,0,28
2023-08-27,2,20,38,17,10,26,0,23
2023-08-28,0,23,45,23,14,32,5,41
2023-08-29,0,21,45,22,15,33,7,42
2023-08-30,0,22,43,20,13,29,0,36
2023-08-31,0,20,43,21,12,26,0,41
2023-09-01,0,21,48,25,11,30,0,36
2023-09-02,0,19,40,25,10,27,0,24
2023-09-03,0,21,39,18,9,32,0,27
2023-09-04,0,20,49,25,15,35,0,34
2023-09-05,0,20,48,24,16,35,6,39
2023-09-06,0,23,44,22,13,35,0,34
