date,Lodging,Flight,Hotel,Guest House,Booking,FlySafair,Lift Airline,Car Rental
2025-01-12,0,39,52,23,21,15,0,11
2025-01-13,0,34,57,22,25,9,0,17
2025-01-14,0,32,49,17,25,11,0,16
2025-01-15,0,29,52,21,27,14,0,17
2025-01-16,0,35,59,22,28,23,0,19
2025-01-17,0,33,60,26,25,10,0,15
2025-01-18,0,31,56,25,19,8,0,14
2025-01-19,0,33,53,18,16,10,0,11
2025-01-20,0,31,67,22,26,12,0,21
2025-01-21,0,26,55,23,28,11,0,18
2025-01-22,0,33,56,25,22,12,0,17
2025-01-23,0,28,57,24,25,13,0,17
2025-01-24,0,29,54,29,27,12,0,15
2025-01-25,0,27,48,23,14,9,0,12
2025-01-26,0,32,48,21,15,13,0,14
2025-01-27,0,29,70,26,22,14,0,20
2025-01-28,0,34,62,24,23,15,0,18
2025-01-29,0,25,59,26,24,15,0,17
2025-01-30,0,26,58,27,28,16,0,16
2025-01-31,0,28,65,27,26,13,0,16
2025-02-01,0,29,45,25,16,10,0,11
2025-02-02,0,32,51,23,19,12,0,12
2025-02-03,0,27,76,27,29,13,0,17
2025-02-04,0,23,59,26,33,12,0,17
2025-02-05,0,25,60,28,27,12,0,18
2025-02-06,0,26,57,25,28,13,0,16
2025-02-07,0,27,58,29,25,11,0,12
2025-02-08,0,28,49,25,16,14,0,11
2025-02-09,0,31,52,17,15,9,0,16
2025-02-10,0,25,68,29,29,8,0,17
2025-02-11,0,23,54,28,24,9,0,15
2025-02-12,0,28,57,24,25,11,3,16
2025-02-13,0,23,62,25,21,10,0,15
2025-02-14,0,23,62,29,25,10,0,10
2025-02-15,0,25,56,22,16,8,0,13
2025-02-16,0,33,53,19,20,8,0,12
2025-02-17,0,27,66,28,25,11,0,20
2025-02-18,0,27,55,22,27,12,0,15
2025-02-19,0,29,52,25,24,11,0,14
2025-02-20,0,29,58,24,20,11,0,15
2025-02-21,0,29,59,28,20,9,3,10
2025-02-22,0,23,41,23,15,11,0,12
2025-02-23,0,36,54,19,15,10,3,10
2025-02-24,0,26,67,26,25,14,0,17
2025-02-25,0,27,52,25,22,11,0,17
2025-02-26,0,25,56,26,25,14,0,15
2025-02-27,0,27,52,29,24,10,0,18
2025-02-28,0,29,53,32,23,8,0,16
2025-03-01,0,24,39,25,16,6,0,12
2025-03-02,0,29,44,22,18,9,3,14
